hash,file,bundle,offset,size
c1725ef869813cfb,burrowsfill_v01_01.tgm,Tiny.V9,29234771,195
794cd14b418e4002,burrowsfill_v01_01.tgm.header,Tiny.V0,29064326,264
fc08bbb67c0e111d,fill_hole_01.tgm,Streaming/Content/data/worldareas/maptrenches.vworld,9367634,15005
da4a82a0cb3a1259,fill_hole_01.tgm.header,Tiny.V8,28849658,350
05ae42d761c267e0,fill_hole_02_c2r1.tgm,Streaming/Content/data/worldareas/maptrenches.vworld,9382639,33045
43236a6658ddf4fe,fill_hole_02_c2r1.tgm.header,Tiny.VD,28940954,306
e2ffeabe7e7a6a9d,fill_hole_02_c2r2.tgm,Tiny.V1,28735917,1359
b666683f966ff1ec,fill_hole_02_c2r2.tgm.header,Tiny.V5,28423545,264
6829f597b487e0ef,fill_hole_02_c1r1.tgm,Tiny.VE,28678484,1127
da6b21911e662eaa,fill_hole_02_c1r1.tgm.header,Tiny.V2,28896408,264
eba497b8b464ee3c,fill_hole_02_c1r2.tgm,Tiny.V4,29265363,1375
80dc687d5e77a970,fill_hole_02_c1r2.tgm.header,Tiny.V2,28896672,264
f29cf1b246937112,mudburrow_devourertrap_01_c3r1.tgm,Streaming/Content/data/worldareas/maptrenches.vworld,10288338,127037
b57ccfd65e1c4628,mudburrow_devourertrap_01_c3r1.tgm.header,Tiny.V3,28596653,746
0951c0336bd1dcf2,mudburrow_devourertrap_01_c3r2.tgm,Streaming/Content/data/worldareas/maptrenches.vworld,10415375,180839
f9dc91c20aaf5545,mudburrow_devourertrap_01_c3r2.tgm.header,Tiny.VF,29088285,438
b9d70c8641cb3465,mudburrow_devourertrap_01_c3r3.tgm,Streaming/Content/data/worldareas/maptrenches.vworld,10596214,146507
7c53a3b91d044821,mudburrow_devourertrap_01_c3r3.tgm.header,Tiny.V1,28737276,658
f1d5490ba8c026ef,mudburrow_devourertrap_01_c2r1.tgm,Streaming/Content/data/worldareas/maptrenches.vworld,9549853,302913
7c43502ec8506465,mudburrow_devourertrap_01_c2r1.tgm.header,Tiny.V5,28424073,922
44c64aefa44be394,mudburrow_devourertrap_01_c2r2.tgm,Streaming/Content/data/worldareas/maptrenches.vworld,9852766,214751
c9d6fbbf52c234e7,mudburrow_devourertrap_01_c2r2.tgm.header,Tiny.V9,29249458,746
9d00411569b3f548,mudburrow_devourertrap_01_c2r3.tgm,Streaming/Content/data/worldareas/maptrenches.vworld,10067517,220821
1c84631e3cf79891,mudburrow_devourertrap_01_c2r3.tgm.header,Tiny.V5,28424995,746
31ba7ce498422118,mudburrow_devourertrap_01_c1r1.tgm,Streaming/Content/data/worldareas/maptrenches.vworld,9415684,48879
981b8308ae844903,mudburrow_devourertrap_01_c1r1.tgm.header,Tiny.VE,28679611,306
3e8076a02dda0bb6,mudburrow_devourertrap_01_c1r2.tgm,Streaming/Content/data/worldareas/maptrenches.vworld,9464563,80491
217047ede62667d8,mudburrow_devourertrap_01_c1r2.tgm.header,Tiny.VC,29093355,394
757e102224468a25,mudburrow_devourertrap_01_c1r3.tgm,Streaming/Content/data/worldareas/maptrenches.vworld,9545054,4799
fe4fe1cd240f7f11,mudburrow_devourertrap_01_c1r3.tgm.header,Tiny.V5,28423809,264
86eb10d58015e09c,mudburrow_devourertrap_02_c3r1.tgm,Streaming/Content/data/worldareas/maptrenches.vworld,11679583,136069
4e33236deaba6f3b,mudburrow_devourertrap_02_c3r1.tgm.header,Tiny.V4,29267528,746
68109716397e03be,mudburrow_devourertrap_02_c3r2.tgm,Streaming/Content/data/worldareas/maptrenches.vworld,11815652,154815
52f58418301fc9a7,mudburrow_devourertrap_02_c3r2.tgm.header,Tiny.VD,28941260,438
3f77bacf5509bcf4,mudburrow_devourertrap_02_c3r3.tgm,Streaming/Content/data/worldareas/maptrenches.vworld,11970467,115929
31210b2045399b67,mudburrow_devourertrap_02_c3r3.tgm.header,Tiny.V0,29087656,658
9b101723209c53bf,mudburrow_devourertrap_02_c2r1.tgm,Streaming/Content/data/worldareas/maptrenches.vworld,10888092,313249
5e9c9c0cfefc5075,mudburrow_devourertrap_02_c2r1.tgm.header,Tiny.V2,28897330,922
0becc97dfd09d6e8,mudburrow_devourertrap_02_c2r2.tgm,Streaming/Content/data/worldareas/maptrenches.vworld,11201341,225099
f5d2a611d24d2081,mudburrow_devourertrap_02_c2r2.tgm.header,Tiny.V4,29266738,790
ecc539a706cc9115,mudburrow_devourertrap_02_c2r3.tgm,Streaming/Content/data/worldareas/maptrenches.vworld,11426440,253143
42ee437fd6606f5e,mudburrow_devourertrap_02_c2r3.tgm.header,Tiny.V6,28732511,834
23d894bc1adf0b67,mudburrow_devourertrap_02_c1r1.tgm,Streaming/Content/data/worldareas/maptrenches.vworld,10742721,52043
73b80d3ab659d005,mudburrow_devourertrap_02_c1r1.tgm.header,Tiny.VA,29032984,306
652a19691c06c03e,mudburrow_devourertrap_02_c1r2.tgm,Streaming/Content/data/worldareas/maptrenches.vworld,10794764,87631
a61408599899544b,mudburrow_devourertrap_02_c1r2.tgm.header,Tiny.V2,28896936,394
55e41d74bf3761af,mudburrow_devourertrap_02_c1r3.tgm,Streaming/Content/data/worldareas/maptrenches.vworld,10882395,5697
cb60a00767c43959,mudburrow_devourertrap_02_c1r3.tgm.header,Tiny.V3,28597399,264
92683df06a6d6801,mudburrow_floor_height_v01_01.tgm,Tiny.VC,29093749,2213
d07558c7a1ecf69f,mudburrow_floor_height_v01_01.tgm.header,Tiny.VF,29088723,264
1acb4b96e7b92cdb,mudburrow_floor_height_v01_04.tgm,Tiny.VF,29088987,2393
25e78dde39a9a19f,mudburrow_floor_height_v01_04.tgm.header,Tiny.VC,29095962,264
d41828ea87105803,mudburrow_floor_height_v01_06.tgm,Tiny.VE,28679917,3245
a0b327437b397f2b,mudburrow_floor_height_v01_06.tgm.header,Tiny.V7,28775723,264
e6843def117eb6b9,mudburrow_half_stairs_v01_01.tgm,Tiny.VD,28941698,3245
279c7770e9da6bca,mudburrow_half_stairs_v01_01.tgm.header,Tiny.VC,29096226,264
930ee5ba19401668,mudburrow_stairs_concave_v01_01.tgm,Tiny.VB,29087007,2393
77cf588b51d7fc53,mudburrow_stairs_concave_v01_01.tgm.header,Tiny.V6,28733345,264
b2cf917caa117d8f,mudburrow_stairs_convex_v01_01.tgm,Tiny.V4,29268274,3245
c24310faf6fb4cfa,mudburrow_stairs_convex_v01_01.tgm.header,Tiny.VD,28944943,264
54e2549de10185bf,mudburrow_stairs_straight_v01_01.tgm,Tiny.VF,29091380,3839
628aba7c4a5a5ecd,mudburrow_stairs_straight_v01_01.tgm.header,Tiny.V7,28775987,264
4bbd0ae4e7bef59c,mudburrow_stairs_straight_v02_02.tgm,Tiny.V2,28898252,2213
aab95fe7e7084ca4,mudburrow_stairs_straight_v02_02.tgm.header,Tiny.VC,29096490,264
84f6e48ed0412ca7,mudburrow_stairs_straight_v03_01.tgm,Tiny.V2,28898252,2213
04e3d0cdd82faf8c,mudburrow_stairs_straight_v03_01.tgm.header,Tiny.VC,29096490,264
a8131689bed0bf06,mudburrow_stairs_to_ledge_v01_01.tgm,Tiny.VC,29096754,2393
e4e2b0ea9747f166,mudburrow_stairs_to_ledge_v01_01.tgm.header,Tiny.VA,29033290,264
b1ebe0bedc33f96f,mudburrow_wall_straight_v01_01.tgm,Streaming/Content/data/worldareas/maptrenches.vworld,12640364,416585
51905705c3a1ebb9,mudburrow_wall_straight_v01_01.tgm.header,Tiny.V9,29250906,614
94b920544e447878,mudburrow_wall_cccc_01.tgm,Streaming/Content/data/worldareas/maptrenches.vworld,12086396,99547
75fd2dc8572e6aa3,mudburrow_wall_cccc_01.tgm.header,Tiny.V0,29088314,790
90298e59424799f5,mudburrow_wall_corner_concave_v01_02.tgm,Streaming/Content/data/worldareas/maptrenches.vworld,12185943,196221
0de6817f3254d606,mudburrow_wall_corner_concave_v01_02.tgm.header,Tiny.V9,29250204,702
1502c85d91f48f7c,mudburrow_wall_corner_concave_v01_02_alt.tgm,Streaming/Content/data/worldareas/maptrenches.vworld,12382164,208267
fbbb9da03d44dd5c,mudburrow_wall_corner_concave_v01_02_alt.tgm.header,Tiny.VD,28945207,790
bdd37bd15998a139,mudburrow_wall_corner_convex_v01_02.tgm,Streaming/Content/data/worldareas/maptrenches.vworld,12590431,49933
264e6ea9a6300bad,mudburrow_wall_corner_convex_v01_02.tgm.header,Tiny.V6,28733609,570
a6aca9811d2db3be,path_cc_v01_01_c2r1.tgm,Tiny.VE,28683426,3027
a658627817efcbc9,path_cc_v01_01_c2r1.tgm.header,Tiny.VF,29095219,264
467941aaba6909ea,path_cc_v01_01_c2r2.tgm,Tiny.VA,29033554,2705
bbc2a0c1ab72180f,path_cc_v01_01_c2r2.tgm.header,Tiny.VB,29089400,264
2524558e474c8f20,path_cc_v01_01_c1r1.tgm,Streaming/Content/data/worldareas/maptrenches.vworld,13056949,460939
de7998e4c7ab7aae,path_cc_v01_01_c1r1.tgm.header,Tiny.V5,28425741,1626
cbe7e9ec21d8ff1b,path_cc_v01_01_c1r2.tgm,Tiny.V7,28776251,2601
2eb5a971efab6861,path_cc_v01_01_c1r2.tgm.header,Tiny.VE,28683162,264
a34b3644384de8ba,path_cc_v01_02_c2r1.tgm,Tiny.V6,28734179,3793
3d85b0b59e4afb86,path_cc_v01_02_c2r1.tgm.header,Tiny.V5,28427367,264
e9a0ff1caba30362,path_cc_v01_02_c2r2.tgm,Streaming/Content/data/worldareas/maptrenches.vworld,14296216,4205
9e8941266418f198,path_cc_v01_02_c2r2.tgm.header,Tiny.V3,28599113,264
557b1b7279fadc2f,path_cc_v01_02_c2r3.tgm,Tiny.V4,29271519,3255
1511bb80012a97ce,path_cc_v01_02_c2r3.tgm.header,Tiny.V9,29251784,264
ed78deb56a1775f7,path_cc_v01_02_c1r1.tgm,Streaming/Content/data/worldareas/maptrenches.vworld,13517888,4225
d36404cce54239b4,path_cc_v01_02_c1r1.tgm.header,Tiny.V0,29089104,264
f2bdaccd4b77597d,path_cc_v01_02_c1r2.tgm,Streaming/Content/data/worldareas/maptrenches.vworld,13522113,774103
0e6768f5b7fab183,path_cc_v01_02_c1r2.tgm.header,Tiny.V3,28597663,1450
e1c3da0e74b86fba,path_cc_v01_02_c1r3.tgm,Tiny.V1,28737934,3803
79f9a41fc65e2057,path_cc_v01_02_c1r3.tgm.header,Tiny.V9,29251520,264
723ed85ab0e72420,path_cc_v01_03_c2r1.tgm,Tiny.V4,29274774,3005
0c5c1bfcfa801744,path_cc_v01_03_c2r1.tgm.header,Tiny.V7,28778852,264
54d6c48b63eb7e6f,path_cc_v01_03_c2r2.tgm,Tiny.V1,28741737,4077
766d882652101dee,path_cc_v01_03_c2r2.tgm.header,Tiny.V4,29277779,264
730b3a071b5144f3,path_cc_v01_03_c2r3.tgm,Streaming/Content/data/worldareas/maptrenches.vworld,14300421,32385
1d64d9055acc020b,path_cc_v01_03_c2r3.tgm.header,Tiny.V9,29252048,482
be5b1ae36c0d8ee0,path_cc_v01_03_c2r4.tgm,Tiny.V2,28902948,2091
59a9592676f66044,path_cc_v01_03_c2r4.tgm.header,Tiny.V9,29252530,264
b797fc2f62178f84,path_cc_v01_03_c1r1.tgm,Tiny.V5,28427631,1633
5f623791b6b5c585,path_cc_v01_03_c1r1.tgm.header,Tiny.V5,28429264,264
b930493267bf4696,path_cc_v01_03_c1r2.tgm,Tiny.V5,28429528,2565
69a093fe3c7eeb71,path_cc_v01_03_c1r2.tgm.header,Tiny.VB,29089664,264
68a19ebcc04df8c1,path_cc_v01_03_c1r3.tgm,Tiny.VA,29036259,3399
e5770786f4215f1b,path_cc_v01_03_c1r3.tgm.header,Tiny.VA,29039658,264
668deb1930702639,path_cc_v01_03_c1r4.tgm,Tiny.V2,28900465,2483
81f88c8fbbb94ff3,path_cc_v01_03_c1r4.tgm.header,Tiny.V8,28850008,264
261352ddd04c5c63,path_cc_v01_04_c2r1.tgm,Tiny.V8,28850272,2631
5a9876ea149dfab6,path_cc_v01_04_c2r1.tgm.header,Tiny.V2,28905039,264
a3fee284275a5f07,path_cc_v01_04_c2r2.tgm,Streaming/Content/data/worldareas/maptrenches.vworld,14332806,635763
9643e469aeea5941,path_cc_v01_04_c2r2.tgm.header,Tiny.V4,29278043,1186
6aeb906c1de1cf9f,path_cc_v01_04_c1r1.tgm,Tiny.VC,29099147,2861
37f040367018186c,path_cc_v01_04_c1r1.tgm.header,Tiny.V7,28779116,264
52eeb7f7979444a9,path_cc_v01_04_c1r2.tgm,Tiny.V3,28599377,2469
1d600c34803bb541,path_cc_v01_04_c1r2.tgm.header,Tiny.VA,29039922,264
c9a42ca783ba0630,path_cc_v02_01_c3r1.tgm,Tiny.V7,28779380,2883
95b019ac65b15426,path_cc_v02_01_c3r1.tgm.header,Tiny.V5,28432357,264
4d8df8bc6a6eb2fc,path_cc_v02_01_c3r2.tgm,Tiny.V2,28905303,3429
dc162a950e519846,path_cc_v02_01_c3r2.tgm.header,Tiny.VB,29093987,264
0e060da2f4a3901c,path_cc_v02_01_c3r3.tgm,Tiny.VB,29094251,3157
5cfbe9f33afb7035,path_cc_v02_01_c3r3.tgm.header,Tiny.VA,29040450,264
55e8937384e01ee0,path_cc_v02_01_c2r1.tgm,Tiny.VB,29089928,4059
ac3e9662eccff3c3,path_cc_v02_01_c2r1.tgm.header,Tiny.V8,28852903,264
e95e915238396c0d,path_cc_v02_01_c2r2.tgm,Streaming/Content/data/worldareas/maptrenches.vworld,14981783,1223589
dcb7fc4f220b89d4,path_cc_v02_01_c2r2.tgm.header,Tiny.V6,28737972,2902
ad2c058ee263764c,path_cc_v02_01_c2r3.tgm,Streaming/Content/data/worldareas/maptrenches.vworld,16205372,6029
