hash,file,bundle,offset,size
a764afda2610e91a,ori_estatespaintingframestrims02c.mat,Tiny.V4,29650360,936
c7817e74f0020a4e,ori_estatespaintingframestrims02_normal.dds,Streaming/Content/metadata/terrain/doodads/oriath/424112F2701E4DE5.F1A81D9E3DF54063.painting11.ao.2,699228,1398308
de6b9e49ef401d3c,ori_estatespaintingframestrims02_normal.dds.header,Tiny.V2,29270494,504
a7bbc1047da7f661,ori_estatespaintingframestrims02_colour.dds,Streaming/Content/metadata/terrain/doodads/oriath/424112F2701E4DE5.F1A81D9E3DF54063.painting11.ao.2,0,699228
1956acc0326c0e08,ori_estatespaintingframestrims02_colour.dds.header,Tiny.VC,29490924,504
cc34d5eee58697f8,ori_estatespaintingframestrims01c.mat,Tiny.V3,28954338,936
9706b986a048ce9f,ori_estatespaintingframestrims01_normal.dds,Streaming/Content/data/balance/worldareas/17/mapmezzanine.vworld,0,1398308
e31a712aea73d87b,ori_estatespaintingframestrims01_normal.dds.header,Tiny.V1,29173923,504
c883177a70b7e33e,ori_estatespaintingframestrims01_colour.dds,Streaming/Content/data/balance/worldareas/3C/mapmezzanine.vworld,2180287,699228
ef590c6767d15273,ori_estatespaintingframestrims01_colour.dds.header,Tiny.VE,29013237,504
51a57720bc07b4b7,ori_daybed01c.mat,Tiny.VA,29419401,856
91ef89e43d937fe1,ori_daybed01_normal.dds,Streaming/Content/metadata/terrain/doodads/oriath/424112F2701E4DE5.13E213498FDD3B25.estatessmallbench_set.ao.1,0,5592580
03972f5f117eec12,ori_daybed01_normal.dds.header,Tiny.V2,29268974,1520
73342904bf8151d2,ori_daybed01_colour.dds,Streaming/Content/metadata/terrain/doodads/oriath/424112F2701E4DE5.13E213498FDD3B25.estatessmallbench_set.ao,0,2796364
2fbf87eaea49b531,ori_daybed01_colour.dds.header,Tiny.V7,29137187,1520
ec756fc7bb9d6c4d,ori_daybed02c.mat,Tiny.V5,28798924,1306
3016414bf95e42db,ori_daybed02_normal.dds,Streaming/Content/metadata/terrain/doodads/oriath/1478DCAFA1EC559C.0DA17E3005B91D7A.lazyboy02.ao.3,2796364,5592580
af40017e80f9eaf4,ori_daybed02_normal.dds.header,Tiny.V8,29223989,1520
98d7886eb7c32167,ori_daybed02_metal.dds,Streaming/Content/metadata/terrain/doodads/oriath/1478DCAFA1EC559C.0DA17E3005B91D7A.lazyboy02.ao.3,0,2796364
86981156c3f84d8b,ori_daybed02_metal.dds.header,Tiny.VE,29011717,1520
7dc10806c73e62d0,ori_daybed02_colour.dds,Streaming/Content/metadata/terrain/doodads/oriath/1478DCAFA1EC559C.0DA17E3005B91D7A.lazyboy02.ao.2,0,5592580
2259afb715ee1818,ori_daybed02_colour.dds.header,Tiny.V1,29172403,1520
eeb0173bba18edc5,ori_cartographydesk01c.mat,Tiny.V7,29135499,1688
9c31e0a66df64a96,ori_cartographydesk01_normal.dds,Streaming/Content/metadata/terrain/doodads/oriath/045C354C25D3176B.map_pile_v02_01.ao.1,2796364,5592580
56a64ab676a09c7a,ori_cartographydesk01_normal.dds.header,Tiny.VF,29408822,1520
86a915f54a03270d,ori_cartographydesk01_metallic.dds,Streaming/Content/metadata/terrain/doodads/oriath/045C354C25D3176B.map_pile_v02_01.ao.1,0,2796364
5cbce82072cba32c,ori_cartographydesk01_metallic.dds.header,Tiny.VF,29407302,1520
bc834df147a6ac82,ori_cartographydesk01_colour.dds,Streaming/Content/metadata/terrain/doodads/oriath/045C354C25D3176B.map_pile_v02_01.ao,0,2796364
e95bd771513c66ef,ori_cartographydesk01_colour.dds.header,Tiny.VF,29405782,1520
34be73e2266ce7cc,ori_walltable01c.mat,Tiny.VD,29342743,1622
8fb29b309e5bb69f,ori_walltable01_normal.dds,Streaming/Content/metadata/terrain/doodads/oriath/424112F2701E4DE5.8AF6DFC076ACCDEA.estatewagon09.ao.8,5592728,5592580
465b5bb1fa6592a0,ori_walltable01_normal.dds.header,Tiny.VF,29411862,1520
78ecc28edafa4f6f,ori_walltable01_metal.dds,Streaming/Content/metadata/terrain/doodads/oriath/424112F2701E4DE5.8AF6DFC076ACCDEA.estatewagon09.ao.8,2796364,2796364
88751f8586480659,ori_walltable01_metal.dds.header,Tiny.V9,29630810,1520
