hash,file,bundle,offset,size
6419c1b7f964fc2a,twinkle.mat,Tiny.V4,32117947,1622
1287eece36669006,twinkle.dds,Streaming/Content/metadata/effects/spells/punisher/punisher_buff.epk,274464,22020
67c6ceb4a75a80ee,twinkle.dds.header,Tiny.VC,31873841,1520
fccfbe448070cba1,rainbow.mat,Tiny.V6,31569546,1622
c4eef4fbc5e2783a,rainbow.dds,Streaming/Content/metadata/effects/spells/punisher/punisher_buff.epk,159252,22020
f018a2f9094f3d9f,rainbow.dds.header,Tiny.V2,31634877,1520
19dfd90d3c726bf4,light_gradient.mat,Tiny.VF,31901459,1728
c219b58f7da9d421,light_gradient.dds,Streaming/Content/metadata/effects/spells/ascendancy_classes/19144C49ED482039.A2423F3D01E7A113.fanaticism_charge.pet,372080,22020
5a13eab2c27e58e1,light_gradient.dds.header,Tiny.V5,31279991,1520
f2e4de64b29d28b7,spark.mat,Tiny.VD,31814852,1342
977bd1d0d24ed05f,spark.dds,Streaming/Content/metadata/effects/spells/punisher/punisher_buff.epk,268828,5636
83c7242482cf5522,spark.dds.header,Tiny.V9,32037425,1520
b9074f122176e78d,smoke_whisp.mat,Tiny.V3,31285732,2050
cafa887e545218f2,smoke_whisp_dxt5.dds,Streaming/Content/metadata/effects/spells/punisher/punisher_buff.epk,181272,87556
45a8f701e24ba113,smoke_whisp_dxt5.dds.header,Tiny.V0,6619810,1520
