hash,file,bundle,offset,size
17d08a19f2fcc123,oa_energy_smoke.mat,Tiny.V3,33595409,3902
cdefa230adcee183,web_splat_normal_dxt5.dds,Streaming/Content/metadata/monsters/anchorite/anchoritemother/anchoritemother.act.2,3146088,349700
b089036a088db56c,web_splat_normal_dxt5.dds.header,Tiny.VC,34163056,1520
04dd86e42af91c0d,web_splat_colour_dxt5.dds,Streaming/Content/metadata/monsters/anchorite/anchoritemother/anchoritemother.act.2,2796388,349700
4a905a414a7ce1dd,web_splat_colour_dxt5.dds.header,Tiny.V7,33831251,1520
56cc82f8fa3ad8c0,hsi_pollen1_hip.mat,Tiny.VE,33731931,2600
f607cf0a063ae4ac,hsi_staff_midflare.mat,Tiny.V4,34356729,3300
1ae73a15a791a847,hsi_staff_web.mat,Tiny.VB,34348247,7262
91ea33423bf1d101,hsi_wisps.mat,Tiny.V1,33928048,3236
5a5aaa14b3ab00e7,hsi_wisps_red.mat,Tiny.V5,33661388,3238
