hash,file,bundle,offset,size
80a0e90fc161916b,strokec.mat,Tiny.V5,37299433,4072
86c8cae0a46e09b5,stroke.dds,Streaming/Content/metadata/effects/spells/monsters_effects/656B6D809A8C5460.F60C5ADB1056E62B.focused_beam.ao,555970,22020
6c9ec7416896a4ce,stroke.dds.header,Tiny.VE,37343774,1520
b8d9ab0458005c8d,core_groundc.mat,Tiny.V3,37061535,4874
49ff9bff4c55e3a8,core_ground.dds,Streaming/Content/metadata/effects/spells/monsters_effects/656B6D809A8C5460.F60C5ADB1056E62B.focused_beam.ao,533950,22020
62e228317321675d,core_ground.dds.header,Tiny.VE,37342254,1520
f877d9510606b987,trail_swirl.mat,Tiny.VA,37875800,2696
1c2ac1eb2254b21e,trail_swirl_dxt5.dds,Streaming/Content/metadata/particles/monster_effects/3D83BB25037C7B75.midline.pet,405348,43876
ad72d050b69f4549,trail_swirl_dxt5.dds.header,Tiny.VD,37863398,840
61f12ccde2dc67b0,water_circular_splash.mat,Tiny.V1,37592225,2316
fec9dc52e259de3b,water_circular_splash_dxt1.dds,Streaming/Content/metadata/particles/monster_effects/league_legion/D9801C5B1F03D675.5F949A7D6BC3B418.generic_midline.pet,1356528,43852
ddcb405c613c4e6f,water_circular_splash_dxt1.dds.header,Tiny.V5,34803903,1520
4e7c168841565305,wall_water.mat,Tiny.V3,37066409,3788
9901138a538e028b,wall_water_at.mat,Tiny.V0,37806811,2918
e8c05955794f7c40,wall_water_at_dxt5.dds,Streaming/Content/metadata/particles/monster_effects/league_legion/D9801C5B1F03D675.5F949A7D6BC3B418.generic_midline.pet,1312652,43876
21e8c3c141cb18ba,wall_water_at_dxt5.dds.header,Tiny.VC,6447843,840
2b8a81d9cf4beeeb,wall_water_dxt5.dds,Streaming/Content/metadata/particles/monster_effects/league_legion/D9801C5B1F03D675.5F949A7D6BC3B418.breach_midline.pet,175112,43876
c517893e1ece64a1,wall_water_dxt5.dds.header,Tiny.V0,5645914,840
