hash,file,bundle,offset,size
a84d8a7480710b42,light_gradient_black.mat,Tiny.V9,39807927,2314
773cab84033a4af0,light_gradient_black.dds,Streaming/Content/metadata/particles/monster_effects/solaris_and_lunaris/7456A6625C044557.sparks_end.pet,197132,22020
3ce0ddc3099ebf5a,light_gradient_black.dds.header,Tiny.VE,6295750,1520
455873695d81bd26,fire_bits2_at.mat,Tiny.V4,39667523,1682
f27eb68bb016fab0,fire_bits2_at.dds,Streaming/Content/metadata/items/weapons/twohandweapons/EE8E250E69F5849A.41581659AEBCA676.celestialstaffheld.ao,772964,11108
9e80e05e7755aedb,fire_bits2_at.dds.header,Tiny.V8,38984546,840
fdf2e9e9c231dda4,fireball_flame4.mat,Tiny.VD,39489584,2644
1c143b5b1e3c0b97,fireball_flame4.dds,Streaming/Content/metadata/items/weapons/twohandweapons/EE8E250E69F5849A.41581659AEBCA676.celestialstaffheld.ao,784072,5636
649401bda86fb4be,fireball_flame4.dds.header,Tiny.V9,39806407,1520
dc4a497cd3ef66ae,solidblackc.mat,Tiny.V2,39026313,1022
a159699929382a21,solidblack.dds,Streaming/Content/metadata/effects/microtransactions/character_fx/21F13D13CA11B813.CAE58C92B230AD8B.shadow.trl,740357,349700
db05e50a2762cd65,solidblack.dds.header,Tiny.V4,46106593,1520
3cd631f3030ed7ec,spark2.mat,Tiny.VF,3389285,1570
e9f966e019a794f3,spark2.dds,Streaming/Content/metadata/effects/microtransactions/aura/10C518F3D4D6716A.circle.pet,563080,87556
3069e77188a09552,spark2.dds.header,Tiny.V2,39027335,1520
12afe7ca2abd5915,space_bg.mat,Tiny.VF,39335654,2516
8efb675699d8190c,space_bg.dds,Streaming/Content/metadata/items/weapons/twohandweapons/EE8E250E69F5849A.41581659AEBCA676.celestialstaffheld.ao,789708,349700
e19561dfe4ace50a,space_bg.dds.header,Tiny.V3,45590754,1520
85b91cd2e09d6668,space_bg_highlights_alphamask_bc7.dds,Streaming/Content/metadata/items/weapons/twohandweapons/EE8E250E69F5849A.41581659AEBCA676.celestialstaffheld.ao,1139408,22020
eab53bfaaf3b2e59,space_bg_highlights_alphamask_bc7.dds.header,Tiny.VA,39474518,1520
d7efd0007262eb18,space_bg_highlights_alphamask_dxt1.dds,Streaming/Content/metadata/effects/microtransactions/town_portals/4603F12804147031.CAE58C92B230AD8B.chair_fade.pet,831332,11084
e0a806ec54efda28,space_bg_highlights_alphamask_dxt1.dds.header,Tiny.V5,38919230,1520
