hash,file,bundle,offset,size
90f207a9d0bfcf88,spark.mat,Tiny.VA,45040280,1852
cdf0a6cd8c032e17,spark.dds,Tiny.VF,3298449,1532
538cc22e6ac65b7f,spark.dds.header,Tiny.V6,3269649,840
d54e4ec39e2e8372,wisp2.mat,Tiny.V2,44823831,2422
0d4de6a83ea7fca2,wisp2.dds,Streaming/Content/metadata/effects/microtransactions/head/666D2109143CB189.bathead_turquoise.ao,765984,87556
6af8769bb6295703,wisp2.dds.header,Tiny.V5,6336308,1520
26fa50d1abf2949e,wisp.mat,Tiny.VE,44715901,2220
b74f423f81027ad4,wisp.dds,Streaming/Content/metadata/effects/microtransactions/head/666D2109143CB189.bathead_turquoise.ao,591036,174948
f4db85cbf41d87a3,wisp.dds.header,Tiny.VC,3621151,840
bd75ef4ebbc4b69f,flame2.mat,Tiny.VC,45095037,3384
c3bbeecdce33ef07,flame2.dds,Streaming/Content/metadata/items/armours/helmets/319437B0B5A3A004.dragonhunterhelmetdexint.ao,330013,22020
afe89bb65f425d62,flame2.dds.header,Tiny.VC,45093517,1520
81af553d5a0b6dc7,flame3.mat,Tiny.V6,44855156,3110
e223b25b1fc68bd2,flame3.dds,Streaming/Content/metadata/effects/microtransactions/head/666D2109143CB189.bathead_turquoise.ao,569016,22020
77312147c533878d,flame3.dds.header,Tiny.VC,45093517,1520
329a96f8be904bad,grad.mat,Tiny.VE,44713463,2438
e964f8175a9edef3,grad.dds,Tiny.V6,3280064,2892
ebead1695544f9f7,grad.dds.header,Tiny.VD,3323533,1520
ea20c3ba230330a7,grad_hood.mat,Tiny.V4,45460213,2192
6aff89814156d4fb,grad_hood.dds,Tiny.V6,3280064,2892
1310a16c622b61ba,grad_hood.dds.header,Tiny.VD,3323533,1520
76fb0aef63b9f34e,grad_belly.mat,Tiny.VF,45043106,2198
6ccf1dee86e7061c,grad_belly.dds,Tiny.V6,3280064,2892
81c2b40181324ed5,grad_belly.dds.header,Tiny.VD,3323533,1520
668fa06b20be004b,grad_000.mat,Tiny.V8,44465716,2188
532358503af7d0b1,grad_000.dds,Tiny.V3,45049148,844
f373d3225ae6c8b2,grad_000.dds.header,Tiny.V0,45963513,1520
