hash,file,bundle,offset,size
3f83509bbe37435f,witchc.mat,Tiny.VC,45426075,2354
491958fd1fe2f62e,witch_colour.dds,Streaming/Folders/art/textures/items/armour/DF6A85EF632995AD.mtx,919560,43852
93efc1f7566c8b9b,witch_colour.dds.header,Tiny.V6,45124950,1520
7d5f82b9e4d848d8,warriorc.mat,Tiny.VE,44992807,2362
4502c10140bcd23a,warrior_colour.dds,Streaming/Folders/art/textures/items/armour/DF6A85EF632995AD.mtx,832004,87556
83c39cc606a46a53,warrior_colour.dds.header,Tiny.V9,45806925,1520
8b14fac34aed25c9,tricksterc.mat,Tiny.V3,44569381,2406
023b6038a8756250,trickster_colour.dds,Streaming/Folders/art/textures/items/armour/DF6A85EF632995AD.mtx,788152,43852
69d0d20895bca549,trickster_colour.dds.header,Tiny.VC,45424555,1520
86e2b0f55ecf8cd3,templarc.mat,Tiny.V1,44997633,2362
34373a46c9b33a34,templar_colour.dds,Streaming/Folders/art/textures/items/armour/DF6A85EF632995AD.mtx,700596,87556
b54ca582de0aaacd,templar_colour.dds.header,Tiny.VB,45405947,1520
2415221fc003b067,swordsmanc.mat,Tiny.V9,45804073,2852
10687f9cb014df63,swordsman_colour.dds,Streaming/Folders/art/textures/items/armour/DF6A85EF632995AD.mtx,613040,87556
9109f49dc03e7352,swordsman_colour.dds.header,Tiny.VC,45423035,1520
2a6e9b02d59f8912,hunterc.mat,Tiny.VC,45420681,2354
2bf8302ebf540837,hunter_colour.dds,Streaming/Folders/art/textures/items/armour/DF6A85EF632995AD.mtx,525484,87556
128f9fa8e704e7c6,hunter_colour.dds.header,Tiny.VE,44991287,1520
