hash,file,bundle,offset,size
b1b77db84a248fc3,heraldlightbuff.ao,Tiny.VF.1,21955384,748
ea35f4482dfc4bd9,heraldlightbuff.aoc,Tiny.V2.1,20935206,1550
293a91cd2231047b,herald_light_boom.ao,Tiny.V1.1,18085366,406
7eb0f4d2dbba4981,herald_light_boom.aoc,Tiny.V5.1,20531702,4636
f8aa6cd0c78ed64f,herald_lightning.ao,Tiny.VB.1,18572474,474
e4951834f4f744ee,herald_lightning.aoc,Tiny.VB.1,18571038,1436
2611550d13ce64de,herald_lightning_audio.ao,Tiny.VF.1,131244482,278
31fc8086c954bb38,herald_lightning_audio.aoc,Tiny.V8.1,18518742,996
38b37a9bd6564d35,herald_lightning_hand.ao,Tiny.VB.1,18572474,474
abb6270651fd6ca0,herald_lightning_hand.aoc,Tiny.V9.1,20134620,1446
2d2f15429a98c126,herald_of_lightning_active.epk,Tiny.VB.1,18572948,840
41f715e9f53f0100,herald_of_lightning.epk,Tiny.V9.1,20136066,1766
