hash,file,bundle,offset,size
44d234a0869893d5,grdwind_r.mat,Tiny.VF.1,47143756,38906
07264ce7cd3e50e9,grdwind_u.mat,Tiny.V0.1,49486422,9064
685555e008c8c6ba,impacttarget_lightning_r.mat,Tiny.V7.1,46845024,45606
4ebe0579da0deaf5,impacttarget_lightning_u.mat,Tiny.VF.1,74473270,572
56e0fb4f3074351e,impact_lightning_r.mat,Tiny.V3.1,46470544,44590
1cc2d1a0a79e8ad5,impact_lightning_u.mat,Tiny.VF.1,74473270,572
9d83f615567d7121,impactflare_r.mat,Tiny.VF.1,50812746,23084
7a8dbc6ff6cc693c,impactflare_u.mat,Tiny.VE.1,1562868,310
1d5dd984d904cf52,impactaoeringshimmer_r.mat,Tiny.VD.1,43438128,24984
59ae611580b4878b,impactaoering_r.mat,Tiny.VC.1,52635452,40254
0a1442e3b2f632b6,impactaoering_u.mat,Tiny.VA.1,45908556,2398
10f9bf4733295815,explosion_dropbolt_r.mat,Tiny.V8.1,108366876,28176
51e211d9131e54ca,explosion_dropbolt_u.mat,Tiny.V5.1,25848424,4528
2b880cd14329de31,explosion_ring_r.mat,Tiny.V4.1,51305700,39872
12f3fb27a622a9ea,explosion_ring_u.mat,Tiny.V4.1,94997402,2152
8ce8bf6f25d010db,explosion_blur_render.mat,Tiny.V2.1,48302930,15160
f6cd8bbb2a6b633f,explosion_blur_update.mat,Tiny.VD,50518121,346
2aeb9911e6d828fe,explosion_sparks_r.mat,Tiny.V7.1,101917978,31514
b382107439237f41,explosion_sparks_u.mat,Tiny.VD.1,115040918,18348
85e8cdc06b2bd7c5,explosion_scorch_render.mat,Tiny.V4.1,26126560,32242
9fc343c4cf83ae54,explosion_scorch_update.mat,Tiny.V0.1,12890262,540
d5405daad26a8c42,explosion_flash_render.mat,Tiny.V5.1,46531126,23658
813cbd1da939de41,explosion_flash_update.mat,Tiny.VE.1,1562868,310
3f84ec94b4440a41,explosionsparks_r.mat,Tiny.V9.1,50525002,32314
474dae8b26207e6a,explosionsparks_u.mat,Tiny.V9.1,50557316,9494
e9fdb792c53b965e,explosionembers_r.mat,Tiny.VA.1,48844712,30006
38860f1e30525d59,explosionembers_u.mat,Tiny.V0.1,50301052,19634
a8d8dabce93c4373,aoe_bluroomphscreen_r.mat,Tiny.V6.1,50570246,10216
1783e293440626ab,aoe_bluroomphscreen_u.mat,Tiny.V7.1,45517898,2200
496962660677e897,lightning_ribbonbolt_r.mat,Tiny.V6.1,52310248,27046
f1a620e7f68f1723,lightning_ribbonbolt_u.mat,Tiny.V5.1,25848424,4528
a35ab2476750cec9,lightningforks_01_render.mat,Tiny.VF.1,47182662,20172
1e60e961ba609f9a,lightningforks_update.mat,Tiny.VE.1,1562868,310
1ed2185fffde3c22,charge_shimmer_r.mat,Tiny.VF.1,47079572,14452
a96cf126415ba71a,charge_shimmer_u.mat,Tiny.VD,50518121,346
542294099252baf4,charge_flash_r.mat,Tiny.V3.1,46337736,19166
0380d4f9d253c54a,charge_flash_u.mat,Tiny.VF.1,19198758,5456
41f91582000419e4,charge_flash_end_r.mat,Tiny.VB.1,46562118,21838
6216f2b8dbe57dcd,charge_flash_end_u.mat,Tiny.V2.1,577050,1450
969a2af5a209c2a6,charge_flash_loop_r.mat,Tiny.VD.1,43227402,19136
82eb0b11f4eb9d80,charge_flash_loop_u.mat,Tiny.V2.1,51017710,1104
d46cc55de835fe80,charge_forks_r.mat,Tiny.VB.1,46590328,21238
10c2be4ea2488e88,charge_forks_u.mat,Tiny.VB.1,16132068,6366
39e7cd29ce3772d8,charge_forks_end_r.mat,Tiny.VF.1,47048916,23938
c4008975d6b5c409,charge_forks_end_u.mat,Tiny.VF.1,47072854,6718
5ac542faed60c02a,charge_forks_loop_r.mat,Tiny.V2.1,46136750,21236
a507b14f83127d00,charge_forks_loop_u.mat,Tiny.VB.1,46583956,6372
25d313c1c8d68d1a,charge_glow_r.mat,Tiny.V7.1,46791318,16228
efdf35b532242b56,charge_glow_u.mat,Tiny.V6.1,46672990,1108
eda71887c0035735,charge_glow_end_r.mat,Tiny.V3.1,46356902,18896
5bd6904f11a524bc,charge_glow_end_u.mat,Tiny.V9.1,46451100,1486
f2b80b9628bb61fe,charge_glow_loop_r.mat,Tiny.V6.1,48849990,16194
e5eb388ff6500ea7,charge_glow_loop_u.mat,Tiny.V9,48850611,1140
5a65f942e5456c5b,chargeup_loopcore_r.mat,Tiny.V2.1,48274406,28524
f609eb1b599e1fe7,chargeup_loopcore_u.mat,Tiny.V3.1,46408764,2274
d504dd52402ad4e2,chargeup_lensflare_r.mat,Tiny.V2.1,48234376,40030
7ea710ceddc0ab35,chargeup_lensflare_u.mat,Tiny.VC.1,49093638,9352
9e0a96958f2c6cc0,chargeup_lightningfrontloop_r.mat,Tiny.V1.1,44512284,45838
28e11cd4023546a8,chargeup_lightningfrontloop_u.mat,Tiny.V5.1,46482132,2042
13d2682eda3db27d,chargeup_lightningloop_r.mat,Tiny.V5.1,46484174,44652
75df44d782b273c4,chargeup_lightningloop_u.mat,Tiny.V5.1,46528826,2300
20bb85a6202a5e85,chargeup_lightning_r.mat,Tiny.VF.1,47094024,49732
a21de88ec6596eec,chargeup_lightning_u.mat,Tiny.V8.1,45845240,1732
ad1a782b9782ccc1,chargeup_particles_r.mat,Tiny.V3.1,46411038,40718
1737dad06934d9bf,chargeup_particles_u.mat,Tiny.V0.1,50125464,4384
a8b1adae233b20ed,chargeup_frontcore_r.mat,Tiny.V3.1,46375798,32966
4fe710d97d73abf2,chargeup_frontcore_u.mat,Tiny.V4.1,16892004,902
46bd0466a61580c8,chargeup_timetrackerloop_r.mat,Tiny.V4.1,51280964,24736
e1f2e3f8b1acde92,chargeup_timetrackerloop_u.mat,Tiny.VE.1,23478918,1718
92b4d5f944442dfb,chargeup_time_tracker_r.mat,Tiny.V1.1,44591858,23888
cbdcf01302f336f2,chargeup_time_tracker_u.mat,Tiny.VD.1,43246538,1488
f61755459e3a040d,chargeup_ribbons_r.mat,Tiny.V9.1,46452586,33296
1c35e460e1b60b78,chargeup_ribbons_u.mat,Tiny.V1.1,44558122,33736
49695dacb07ecd35,chargefinish_bluroomph_r.mat,Tiny.V5.1,46638082,9820
294ea1ee3c35f392,chargefinish_bluroomph_u.mat,Tiny.V4.1,51278196,2768
f26db4e2e935184e,chargefinish_strings_r.mat,Tiny.V7.1,46807546,37478
e25b4c4054a093e0,chargefinish_strings_u.mat,Tiny.V1.1,44488286,23998
030e8bef9e34b839,siege_bolt_pass.mat,Tiny.V6.1,49000596,14118
b85892609d5ef1ed,siege_explosion_flash_lightning_r.mat,Tiny.V1.1,44779440,23150
d7cc73a3e2544f39,siege_explosion_flash_u.mat,Tiny.V4.1,26158802,1630
207aff92e46f45c6,siege_explosion_dropbolt_r.mat,Tiny.VC.1,49170764,27390
7bca9eb88f3dd6d4,siege_explosion_dropbolt_u.mat,Tiny.V5.1,46658322,5040
2502cf3b0da76d75,siege_explosion_sphere_r.mat,Tiny.V7.1,46949034,28422
4f28503df0a226f3,siege_explosion_sparks_r.mat,Tiny.V7.1,101917978,31514
7333d81ddc084999,siege_explosion_sparks_u.mat,Tiny.VA.1,22652006,19668
436f09e58046e6f7,siege_explosion_caustics_r.mat,Tiny.V6.1,49014714,10154
8032d3f64586290b,siege_explosion_caustics_u.mat,Tiny.V1.1,44777774,1666
ddc1f6cc3f3d5060,siege_explosion_ring_r.mat,Tiny.V5.1,46663362,46790
6882913b1e9aedf5,siege_explosion_ring_shimmer_r.mat,Tiny.V1.1,44802590,27376
6007306af78abad9,siege_explosion_ring_u.mat,Tiny.V1.1,44829966,3488
93df7b5ed929cf10,siege_flash_render.mat,Tiny.V2.1,48372440,43394
9b23cf861bed03b4,siege_flash_update.mat,Tiny.VC.1,48439180,1672
255dea2c2e6a44c5,siege_splash_render.mat,Tiny.VC.1,49198154,41664
55981eaac41d8984,siege_splash_update.mat,Tiny.V5.1,45591752,1626
02853fcc3a72b180,siege_decal_render.mat,Tiny.V9.1,22622076,23518
f03f799cec92ae57,siege_decal_update.mat,Tiny.V7.1,46158926,1556
1c05e2c7b5a2758b,siege_impact_dropbolt_r.mat,Tiny.V8.1,45852354,27390
7f92210aae23bb06,siege_impact_dropbolt_u.mat,Tiny.V5.1,46658322,5040
3fbea5b174ff198e,siege_impact_ring_r.mat,Tiny.V1.1,44833454,47608
54db5e934be00650,siege_impact_ring_shimmer_r.mat,Tiny.V4.1,51369064,28162
57c218eecf61b484,siege_impact_ring_u.mat,Tiny.V7.1,118103452,2168
291b53e46db3661d,siege_impact_sparks_render.mat,Tiny.V2.1,48415834,17884
e0acd687ba16df3b,siege_impact_sparks_update.mat,Tiny.V0.1,50235160,8270
de17d05b930ca68c,siege_indicator_dropbolt_r.mat,Tiny.V8.1,45879744,26622
24188f6471920446,siege_indicator_dropbolt_u.mat,Tiny.V1.1,44881062,3470
96771ee61a7eb6dc,siege_indicator_beam_r.mat,Tiny.V6.1,49024868,22714
a4e9b93be2bb0f77,siege_indicator_beam_u.mat,Tiny.V7,49159477,576
8965804d1792f903,siege_indicator_pillar_r.mat,Tiny.VB.1,46634474,35666
435231c50639ab78,siege_indicator_pillar_u.mat,Tiny.V7,49159477,576
8bf0ab1018e7a942,shimmer_sphere_render.mat,Tiny.V9.1,46488014,19192
38bfdc971ea1a81f,shimmer_sphere_update.mat,Tiny.V0.1,3403672,302
ec0fb6c843b221f2,shockwave_lightningmain_r.mat,Tiny.V9.1,50600642,23466
28bcd88baf7e1284,shockwave_lightningmain_u.mat,Tiny.VE.1,1562868,310
86b591cb152971a8,shockwave_blurblast_r.mat,Tiny.V1.1,48629034,36746
9655551d520a76d9,shockwave_blurblast_u.mat,Tiny.V7.1,118103452,2168
6f7085cbf6ef4e4d,stunoomph_r.mat,Tiny.VB.1,50094634,36174
248d8e9181b395a8,stunoomph_u.mat,Tiny.VA.1,43168848,2172
499a08c48caf980b,surge_lightning_render.mat,Tiny.V5.1,46710152,29468
2f26e5d46be0f5cb,surge_lightning_update.mat,Tiny.VE.1,1562868,310
a76b9af3c562c25d,surge_spike_render.mat,Tiny.V4.1,51397226,29406
dee00d18c68e929e,surge_spike_update.mat,Tiny.V9.1,46507206,5422
ee38f0f1d805e08e,surge_glow_render.mat,Tiny.V2.1,48433718,5466
fd690d86ce422333,surge_glow_update.mat,Tiny.VB.1,46670140,1520
b2f59644953b4ef7,surge_glint_render.mat,Tiny.VA.1,45863920,16410
b313d03cbb32720d,surge_glint_update.mat,Tiny.VE.1,1562868,310
0175f6f5b2beef9b,bluroomphscreen_r.mat,Tiny.VF.1,47039126,9790
548838c56f0459a4,bluroomphscreen_u.mat,Tiny.V1.1,118225712,2208
c988c87309be1c4b,burst_shard.mat,Tiny.VB.1,46538332,23786
4ae80545fcc09707,burst_embers_r.mat,Tiny.VA.1,45728936,32750
