hash,file,bundle,offset,size
e4df7cffb595fc36,grd_crack_r.mat,Tiny.V7.1,71631610,26792
0f6a221d1a29e406,bone_pnt_emit_u.mat,Tiny.VE.1,1562868,310
31c5e11bfc4dbd84,impactforcedown_r.mat,Tiny.VE.1,72528894,34368
ebb903b42b0603a6,radial_blur_r.mat,Tiny.VE.1,69019444,9280
1e1266cc87aa9c14,debris_large_r.mat,Tiny.V3.1,71547522,28164
5c7dbd4b392ebd37,debris_large_u.mat,Tiny.VE.1,72487814,17018
c28932cf8dd7109b,poison_decal_u.mat,Tiny.V1.1,70836602,2200
640c3563916c08b6,poison_decal_02_r.mat,Tiny.VA.1,70707510,57112
58faeef2f4ac9c7c,poison_decal_01_r.mat,Tiny.V6.1,74004382,47578
62e18f283d49948f,poison_streaks_r.mat,Tiny.VF.1,72172870,13848
c2f71dbcabe0f09f,poison_streaks_u.mat,Tiny.VB.1,71471006,16708
d3e7aa808c062a0b,poison_ribbons_r.mat,Tiny.VE.1,72563262,14040
a83c3ed6ee314d7e,poison_ribbons_u.mat,Tiny.V9.1,72857196,13978
8d3ba0b705a278cb,flash_r.mat,Tiny.VE.1,72504832,24062
937f86eace8d11e7,flash_02_r.mat,Tiny.V6.1,73965592,33284
6a67ad092f731350,smoke_shockwave_r.mat,Tiny.VD.1,67735516,30308
457b5059c939510f,smoke_ring_01_r.mat,Tiny.V0.1,76156664,22040
facc49a6f204a3e6,smoke_ring_01_u.mat,Tiny.VC.1,75265092,15098
c20b1a71d0b8dcd9,shimmer_sphere_r.mat,Tiny.V3.1,71605738,12444
e8f94e1672b2a242,shimmer_wave_r.mat,Tiny.VF.1,72186718,24610
fc52739809992f36,shockwave_energy_r.mat,Tiny.V0.1,76060446,35174
0c24c6ada0078ad5,shockwave_sphere_r.mat,Tiny.V0.1,76095620,61044
