hash,file,bundle,offset,size
f73b88e0c3fc180f,loop_clearfellbullblack_sitting.ot,Tiny.V4.1,146284730,666
72041b3a34a26536,loop_clearfellbullblack_sitting.otc,Tiny.VA.1,153074972,140
46f57343cbdd2657,loop_clearfellbullblack_idle.ot,Tiny.VA.1,144221316,668
b7bb185cf5481126,loop_clearfellbullblack_idle.otc,Tiny.VA.1,153074972,140
e368807b3424b6ca,loop_clearfellbullbrokenhorn_sitting.ot,Tiny.VD.1,139591306,676
bc0e4b0f3eed9dfb,loop_clearfellbullbrokenhorn_sitting.otc,Tiny.VA.1,153074972,140
b4534bf95ff1fb23,loop_clearfellbullbrokenhorn_idle.ot,Tiny.V1.1,145064516,678
2a0d3e3155d078ab,loop_clearfellbullbrokenhorn_idle.otc,Tiny.VA.1,153074972,140
eb7eeb699b31f046,loop_clearfellbull1_idle_eating.ot,Tiny.VB.1,144613666,862
2a22702080fba6b3,loop_clearfellbull1_idle_eating.otc,Tiny.VA.1,153074972,140
47881a823b6c49c5,loop_clearfellbull1_idle.ot,Tiny.V4.1,146284070,660
3b75d03afbdf1ea1,loop_clearfellbull1_idle.otc,Tiny.VA.1,153074972,140
f22d4afa35f050b0,loop_clearfellbull2_sitting.ot,Tiny.VE.1,142461492,658
f95474dd2eea1439,loop_clearfellbull2_sitting.otc,Tiny.VA.1,153074972,140
1ae6c9d95bfb420e,loop_clearfellbull2_idle_eating.ot,Tiny.V0.1,149001490,862
42822572c248f39f,loop_clearfellbull2_idle_eating.otc,Tiny.VA.1,153074972,140
cf051fc02759583d,loop_clearfellbull2_idle.ot,Tiny.VE.1,142460832,660
6c40a58c5a32fb30,loop_clearfellbull2_idle.otc,Tiny.VA.1,153074972,140
