hash,file,bundle,offset,size
3cea766094c247b5,yy_ringc.mat,Tiny.V2.1,265820,2310
d19e0a59ed786095,yyc.mat,Tiny.VB.1,255116,4120
32ead84d94a761fd,mergedpolariswingsc.mat,Tiny.VC.1,556388,6338
48b37148ba5d4faa,mergedpolariswings_glow_dxt1.dds,Streaming/Content/art/models/items/armours/216F327D24F90E9D.D6A6EA4C75F10E32.mergedpolariswings.fmt,699212,699212
1362a20c38b7e1d8,mergedpolariswings_glow_dxt1.dds.header,Tiny.VF.1,553502,1520
0cd9bb09ed4c73e5,mergedpolariswings_sss_dxt1.dds,Streaming/Content/art/models/items/armours/216F327D24F90E9D.4E59F014747A4D3F.sentinel_model.fmt.1,699400,174924
6c14c1cd5ba26cc9,mergedpolariswings_sss_dxt1.dds.header,Tiny.VA.1,365457,1520
dd6d9e298ebf9ca6,mergedpolariswings_normal_dxt5.dds,Streaming/Content/art/models/items/armours/216F327D24F90E9D.D6A6EA4C75F10E32.mergedpolariswings.fmt,1398424,1398276
299646a38f8b4593,mergedpolariswings_normal_dxt5.dds.header,Tiny.V0.1,619608,1520
161f7fe5694d3366,mergedpolariswings_colour.dds,Streaming/Content/art/models/items/armours/216F327D24F90E9D.D6A6EA4C75F10E32.mergedpolariswings.fmt,0,699212
b10fc5234c1f0bd7,mergedpolariswings_colour.dds.header,Tiny.VA.1,363937,1520
