hash,file,bundle,offset,size
276429e22eb82217,djinnmapdevice_balbala_open_30.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.E,823505,60274
2ce4258e89d9c8cc,djinnmapdevice_balbala_open_31.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.E,883779,65971
7cddf4154ce98d30,djinnmapdevice_balbala_open_32.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.E,949750,59897
ad9ce47e463869ef,djinnmapdevice_balbala_open_33.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.E,1009647,61492
08343b9ca1a4104f,djinnmapdevice_balbala_open_34.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.E,1071139,51191
ab7254fe3ec99f37,djinnmapdevice_balbala_open_35.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.E,1122330,56874
56ceef1f5b54fdea,djinnmapdevice_balbala_open_36.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.E,1179204,38225
b3aa4695cf6b41c7,djinnmapdevice_balbala_open_37.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.E,1217429,37059
b698e21e2f40970e,djinnmapdevice_balbala_open_38.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.E,1254488,35759
6ebc872181406622,djinnmapdevice_balbala_open_20.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.E,501014,53974
d3790c39ad2ff0e5,djinnmapdevice_balbala_open_21.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.E,554988,66889
65b4f686358bdcb9,djinnmapdevice_balbala_open_23.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.E,621877,61624
4292fdb054db074e,djinnmapdevice_balbala_open_26.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.E,683501,44734
21d69f1ed057c413,djinnmapdevice_balbala_open_28.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.E,728235,47689
f48d85cacec3e210,djinnmapdevice_balbala_open_29.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.E,775924,47581
caffae63cbce08fc,djinnmapdevice_balbala_open_10.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.E,61897,51993
2375f407747674f2,djinnmapdevice_balbala_open_11.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.E,113890,54388
13762d951267db9e,djinnmapdevice_balbala_open_12.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.E,168278,56632
11c96b2bc948e36d,djinnmapdevice_balbala_open_14.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.E,224910,31951
cd744b87af31e41c,djinnmapdevice_balbala_open_15.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.E,256861,30977
7b6878ff860a2ac2,djinnmapdevice_balbala_open_16.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.E,287838,66508
3bf14a632dab5da0,djinnmapdevice_balbala_open_17.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.E,354346,60348
