hash,file,bundle,offset,size
878264954ec6cf13,explode_01.epk,Tiny.VA.1,110829798,472
627ffbde448b979e,body_buildup.mat,Tiny.V1.1,110212552,14824
1d93500997288e2a,death_body.epk,Tiny.V0.1,110680126,282
9eed3cd7be3cdcaf,handbuildupglow.epk,Tiny.VF.1,107863544,490
c72e66efe200a696,handbuildupglow.mat,Tiny.V9.1,113323070,16774
d9734cd3f9676004,teleport_in.epk,Tiny.V3.1,110054449,488
bac813e111fc1cd0,teleport_in_epk_pass0.mat,Tiny.VB.1,110796807,1734
1fea5d7707158a70,teleport_out.epk,Tiny.V4.1,110289570,494
dcf0df4b4d54a0ae,teleport_out_epk_pass0.mat,Tiny.VB.1,110796807,1734
cee996573021d3ad,weaponglow.epk,Tiny.V1.1,110227376,468
06b187d6142a0251,weaponglow.mat,Tiny.V3.1,110054937,28126
