hash,file,bundle,offset,size
84fd1d7f68ef1485,pntemit_forcegrd_u.mat,Tiny.V0.1,25776484,540
4c8639860f8e1f9d,lfs_core_glow_2_r.mat,Tiny.V9.1,137510160,5252
08b1a5a3ea35d89c,blur_shockwave_sphere_r.mat,Tiny.VB.1,19090767,9786
b190b76036414a68,blur_shockwave_sphere_u.mat,Tiny.V0.1,33576728,2112
0a2e0d5bcb08ddda,vn_influence_ringwave_01_r.mat,Tiny.VD.1,159980552,28166
ab290e06c0999ccd,vn_smoke_shockwave_r.mat,Tiny.VA.1,158221036,29640
760eecb308abec63,vn_shimmerwave_01_r.mat,Tiny.V0.1,71321974,24420
df3aa3f7a798b558,vn_shadowwave_01_r.mat,Tiny.V5.1,158602366,66274
398021c47a40a222,vn_shadowwave_02_r.mat,Tiny.V8.1,160119280,68688
a7cc45097c33f755,scorch_mark_r.mat,Tiny.V6.1,159108141,30878
7c1bd8a231e8c5c6,scorch_mark_u.mat,Tiny.VD.1,5332868,346
8c31735db025364c,ground_debris_r2.mat,Tiny.VB.1,158819235,35488
a25b161171cc472f,ground_debris_u2.mat,Tiny.V9.1,161049230,32252
d751efc3f6f3f054,impact_embers_01_r.mat,Tiny.VB.1,158854723,28060
bc05e17c5dfd27b7,impact_embers_01_u.mat,Tiny.V5.1,158569720,32646
b7ddb760807e809a,impact_warpcircle_01_r.mat,Tiny.V9.1,161132668,11870
b1d8c04b98effcbc,impact_warpcircle_01_u.mat,Tiny.V6.1,117026461,2152
4d56db44fee02430,impact_mblursphere_01_r.mat,Tiny.V3.1,7125755,11984
0c262ff162f86ab9,impact_mblursphere_01_u.mat,Tiny.V5.1,104021748,2212
445fabec75f08fee,impact_mblursphere_02_r.mat,Tiny.V6.1,91395185,11010
a5a5d596a7d4b749,impact_mblursphere_02_u.mat,Tiny.V3.1,103429871,2438
a71917de714aa9de,impact_grainsburst_01_r.mat,Tiny.V2.1,93487880,31226
a58eaca62e25a5d7,impact_grainsburst_01_u.mat,Tiny.VD.1,159935524,11344
72e82d38cf9b8028,impact_glowoomph_01_r.mat,Tiny.VD.1,160089098,51354
22456af90620f901,impact_glowoomph_01_u.mat,Tiny.V4.1,158704986,4244
afdc4bb89ba17fab,impact_down_r.mat,Tiny.V3.1,102789433,28482
bdc855735aa86f46,impact_down_u.mat,Tiny.V4.1,41327678,2112
0cba4d09296dc2a4,impact_decal_02_r.mat,Tiny.VD.1,159857424,78100
82ff0c7225d7374a,impact_decal_02_u.mat,Tiny.V9.1,98578846,2382
52ca4049836967bc,impact_debris_01_r.mat,Tiny.VA.1,158184784,36252
337d06a0dfbbf3bf,impact_debris_01_u.mat,Tiny.VC.1,162706799,28786
8f9fbc3015688a2f,impact_shimmerring_01_r.mat,Tiny.V6.1,5946379,25176
0c2502ff110e38e1,impact_shimmerring_01_u.mat,Tiny.V4.1,24259984,4424
cd76cdcd734cc3c2,impact_smokering_01_r.mat,Tiny.VD.1,159946868,33684
5b7a77ff7aee23ab,impact_smokering_01_u.mat,Tiny.VE.1,157174778,12818
8ab459957f080b3d,impact_sparks_02_r.mat,Tiny.V2.1,104896882,31434
8428d317b8769c42,impact_sparks_02_u.mat,Tiny.VF.1,156434116,32602
