hash,file,bundle,offset,size
50c77eb7ddbc1d96,explosion_caustics_r.mat,Tiny.V1.1,46270312,10154
332ea552052bf32e,explosion_caustics_u.mat,Tiny.VE.1,12556962,310
f947e27e2ea2c1a9,explosion_wave_cold_r.mat,Tiny.VA.1,168026168,55528
391b926083364d36,explosion_wave_fire_r.mat,Tiny.VF.1,167994052,56730
58e4b696692fbbc6,explosion_wave_fire_u.mat,Tiny.VE.1,12556962,310
9c9b12022255660e,explosion_flash_fire_r.mat,Tiny.V8.1,170899376,26646
901f1393c8e8aa11,explosion_flash_u.mat,Tiny.VE.1,12556962,310
38331207d84b0c8c,explosion_flash_cold_r.mat,Tiny.VD.1,169271892,18274
d4cbb26973332917,explosion_fire_distortion_r.mat,Tiny.VD.1,74890100,13104
1cfd5b864ca2eac5,explosion_fire_distortion_u.mat,Tiny.VF.1,45810712,6082
2819c46eb14ac60d,explosion_embers_fire_r.mat,Tiny.V1.1,168764720,31800
35a096158721ec3c,explosion_embers_fire_u.mat,Tiny.VE.1,168227664,17162
6de19e530db67d5b,explosion_ring_fire_r.mat,Tiny.V1.1,168796520,49212
70585bad3a4da49f,explosion_ring_shimmer_r.mat,Tiny.V1.1,46280466,24374
81166ea7b6203916,explosion_ring_u.mat,Tiny.V3.1,46156885,2168
7f1228ded0e7162b,explosion_ring_cold_r.mat,Tiny.V8.1,170926022,47616
