hash,file,bundle,offset,size
8b6c156834065657,iconhellscape.dds,Streaming/Folders/art/textures/interface/2d/970E98DB3AC580F5.3913E97A855491BB.uiimages.2,3051208,9732
8fb55e427dc800f4,iconhellscape.dds.header,Tiny.V1,45251374,2388
1ab747d7e9f7e393,hellscapeskillxpnotch.dds,Tiny.V6,45483488,452
43ae1a0efa1d3cc3,hellscapeskillxpnotch.dds.header,Tiny.VF,45361827,1180
f88f52dab905ff63,hellscapeskillxpfillinventory.dds,Tiny.V2,45109489,452
2e6fac6b06def392,hellscapeskillxpfillinventory.dds.header,Tiny.VC,45575090,1180
4e5535c36e63635b,hellscapeskillxpfill.dds,Tiny.V5,44817947,1924
be689d2e3939cd3f,hellscapeskillxpfill.dds.header,Tiny.VE,44897428,1728
3b332028071e9953,hellscapeskillxpbackinginventory.dds,Tiny.VE,44893392,4036
bf9657f734e99a94,hellscapeskillxpbackinginventory.dds.header,Tiny.VF,45361483,344
7e685f0aec3160ad,hellscapeskilltreehoverright.dds,Streaming/Folders/art/textures/interface/2d/0FBA6147EC6EB1D0.3913E97A855491BB.uiimages.2,0,16516
2e79979b16876229,hellscapeskilltreehoverright.dds.header,Tiny.V9,45902670,4116
5f2cefb59b78088e,hellscapeskilltreehovermiddle.dds,Streaming/Folders/art/textures/interface/2d/DE2C961CF5B3DF87.3913E97A855491BB.uiimages,1898008,16516
4f3314cc468ff0b8,hellscapeskilltreehovermiddle.dds.header,Tiny.V7,45370530,4116
1603b3a47656e10d,hellscapeskilltreehoverleft.dds,Streaming/Folders/art/textures/interface/2d/1B1677B9ED48C06E.3913E97A855491BB.uiimages.2,385448,16516
88dd286801eb2843,hellscapeskilltreehoverleft.dds.header,Tiny.VD,45428862,4116
e9bf7a3829fe1810,hellscapeskilltreebacking.dds,Streaming/Folders/art/textures/interface/2d/DB6448843A9150E7.3913E97A855491BB.uiimages,2381660,1408100
ba9f067e04a7c02e,hellscapeskilltreebacking.dds.header,Tiny.V1,45249974,1400
f7389573d7e88589,hellscapeskillpointsymbol.dds,Streaming/Folders/art/textures/interface/2d/D46F0B71AA93F2C2.3913E97A855491BB.uiimages.2,376596,4196
a407fe1de7c0a42a,hellscapeskillpointsymbol.dds.header,Tiny.V7,45366526,4004
1d6d93817d501433,hellscapeskillframeselected.dds,Streaming/Folders/art/textures/interface/2d/E758DCE1A0FE53A1.3913E97A855491BB.uiimages,2787480,34516
253bec9dfee679fb,hellscapeskillframeselected.dds.header,Tiny.VA,45462753,2212
202cb76ec5508fbc,hellscapeskillframemaxed.dds,Streaming/Folders/art/textures/interface/2d/E1A06B03985C663D.3913E97A855491BB.uiimages.2,295776,34516
2aad83157e1ed5fd,hellscapeskillframemaxed.dds.header,Tiny.VC,45572878,2212
93b79a52216b60ac,hellscapeskillframelocked.dds,Streaming/Folders/art/textures/interface/2d/C0FC48AAB527D708.3913E97A855491BB.uiimages.1,1277468,34516
b11ffe367f9a1e51,hellscapeskillframelocked.dds.header,Tiny.V0,45485353,2212
5c036c324a61b482,2.dds,Streaming/Folders/art/textures/interface/2d/8F108B6687EF6415.3913E97A855491BB.uiimages,3277324,37412
a2bf4fb50898bcc9,2.dds.header,Tiny.V2,45107133,2356
