hash,file,bundle,offset,size
,hideoutverdant.vworld,,,1522771
,bossrush_area3.vworld,,,3689242
,hideoutbeaconofsalvation.vworld,,,6061743
,p1_4.vworld,,,5966153
,abyss_boss2.vworld,,,624716
,g3_8.vworld,,,44969843
,g3_2_2.vworld,,,3099160
,g4_11_2.vworld,,,906593
,hideoutcolossaltitan.vworld,,,2796364
,incursiontemple.vworld,,,12715157
,mapburialbog.vworld,,,2796364
,mapuberboss_delirium.vworld,,,1013380
,g2_2.vworld,,,1553643
,mapuberboss_divinity.vworld,,,792630
,delirium_hungerboss.vworld,,,2796364
,g_login.vworld,,,4194640
,bossrush_area3.vworld.1,,,1682917
,p2_1.vworld,,,3466511
,g3_11.vworld,,,1912276
,mapuniquereactor_01.vworld,,,4030490
,g4_10.vworld,,,5662438
,mapuberboss_monolith.vworld,,,5656920
,null.vworld,,,5601317
,mapdeforestation.vworld,,,3563791
,g2_6.vworld,,,1061779
,mapuberboss_fallenstar.vworld,,,5294603
,sanctum_1_foyer_2.vworld,,,961395
,maphideoutshoreline_claimable.vworld,,,3954883
,mapmezzanine.vworld,,,21081653
,expeditionsubarea_voranaboss.vworld,,,1493198
,mapgeode.vworld,,,642131
,g4_8a.vworld,,,744174
,g2_9_1.vworld,,,963715
,chayulaleague.vworld,,,956585
