hash,file,bundle,offset,size
56dd23bca392f324,seraphbodystr_66210eed.smd,Streaming/Content/metadata/items/armours/bodyarmours/C02482E085AA0D0D.atlantissirenbodystr.ao,521190,72793
52a6630d67582056,seraphbodystr_66210eed.smd.header,Tiny.VE,9546703,664
c85d98f975378553,seraphbodystrint_8a9f0a67.smd,Streaming/Content/metadata/items/armours/bodyarmours/C818ECF30E113D23.atlantisdeepwaterbodystrint.ao,511753,72345
a313b4244ea70c7e,seraphbodystrint_8a9f0a67.smd.header,Tiny.V0,9748452,631
eb01f572777bde99,seraphbodystrdex_4cd70ac8.smd,Streaming/Content/metadata/items/armours/bodyarmours/AD9625FEAB1A883D.raijuarmourbodystrdex.ao,592339,76677
df75b6163790dc64,seraphbodystrdex_4cd70ac8.smd.header,Tiny.V4,9663884,633
b2cc77495666cf5a,seraphbodydexint_c32db41c.smd,Streaming/Content/metadata/items/armours/bodyarmours/4947BC1AD7D16910.seraphskinmetalbodydexint.ao,0,73941
0adeb692496e3c47,seraphbodydexint_c32db41c.smd.header,Tiny.V6,9641174,639
fb2db20ae357fb87,seraphbodydex_6f34acb2.smd,Streaming/Content/metadata/items/armours/bodyarmours/D5EB7EC4C9E5B4BE.betakaruiarmourbodystrint.ao,318532,71259
23afb886a078d4e6,seraphbodydex_6f34acb2.smd.header,Tiny.VD,9473683,628
016597c2a624436a,seraphbodyint_91dd7556.smd,Streaming/Content/metadata/items/armours/bodyarmours/742819992BD8C0F0.eldritchhungerbodystrdex.ao,723552,72043
f304f4aeb8defbc9,seraphbodyint_91dd7556.smd.header,Tiny.V6,9641813,626
ea9ff6d9bacd83c0,seraphmetalbodyint.sm,Tiny.V8,9377952,986
1f76300ad44a5c73,seraphmetalbodystrdex.sm,Tiny.VC,9436602,1000
69818cfc007a5b1e,seraphmetalbodystrint.sm,Tiny.VD,9474311,996
ac22b3a99fe2b53b,seraphmetalbodystr.sm,Tiny.V1,9467469,960
3b56dd56674af4b9,seraphmetalbodydex.sm,Tiny.VE,9547367,954
def5b361a91f7a0c,seraphmetalbodydexint.sm,Tiny.VA,9590302,974
