hash,file,bundle,offset,size
888fa29f805040b6,fire_at.mat,Tiny.VD,13551529,5174
ecd852d46b45cc92,lava_poolc.mat,Tiny.VE,13618899,3966
aa9564c475ba70d3,lava_glow_dxt1.dds,Streaming/Content/metadata/effects/microtransactions/town_portals/9252869C7E8C3A14.moltendragonportal_map_small.ao,190110,699212
c1f096b44341c3e1,lava_glow_dxt1.dds.header,Tiny.V0,13829498,1520
6142f381f724ec2f,lava_normalaorough_dxt5.dds,Streaming/Content/metadata/effects/microtransactions/spells/B278C717EEB2B2E4.54D6D8239683F93A.epk7.epk,1573200,1398276
abaee57d955cad77,lava_normalaorough_dxt5.dds.header,Tiny.V6,13809024,1520
e62487cb8b0419b6,lava_colour_bc1.dds,Streaming/Content/metadata/effects/microtransactions/bodyarmours/E0179056D04C42A3.F10AD1EBF589EBEB.skirt_magma_trail_01_start.trl,349700,699212
e8c02b8484feca4e,lava_colour_bc1.dds.header,Tiny.VE,13617379,1520
edb589213877f0e6,lava_colour_dxt5.dds,Streaming/Content/metadata/effects/microtransactions/spells/B278C717EEB2B2E4.54D6D8239683F93A.epk7.epk,174924,1398276
af943c1f49cecb46,lava_colour_dxt5.dds.header,Tiny.V3,13517598,1520
