hash,file,bundle,offset,size
22a0d52c6e9fffbe,toc_domespanels04c.mat,Tiny.V7,22762651,976
d996f571f008a568,toc_domespanels04_normal.dds,Streaming/Content/metadata/terrain/doodads/waypoints/waypoint_twilightisland_fake.ao.6,0,5592580
4a0823b953c17672,toc_domespanels04_normal.dds.header,Tiny.V9,32232045,1520
73480f74dac7f864,toc_domespanels04_colour.dds,Streaming/Content/metadata/terrain/doodads/waypoints/waypoint_twilightisland_fake.ao.5,0,5592580
45d22cdf91db1b79,toc_domespanels04_colour.dds.header,Tiny.VA,32038837,1520
5caed23f84994037,toc_domespanels03c.mat,Tiny.V2,22975531,1486
171b36452bcd3c5d,toc_domespanels03_normal.dds,Streaming/Content/metadata/terrain/doodads/oriath/51F62C23DDEC2AC4.322B65F484EBF767.largetome01.ao.3,5592580,5592580
8d4e4837f685f50c,toc_domespanels03_normal.dds.header,Tiny.V7,31812361,1520
08c98c983fdbff67,toc_domespanels03_metal.dds,Streaming/Content/metadata/terrain/doodads/oriath/51F62C23DDEC2AC4.322B65F484EBF767.largetome01.ao.3,0,5592580
f85c11dcd05f28a8,toc_domespanels03_metal.dds.header,Tiny.VB,32061011,1520
1273b3e1655276cc,toc_domespanels03_colour.dds,Streaming/Content/metadata/terrain/doodads/oriath/51F62C23DDEC2AC4.322B65F484EBF767.largetome01.ao.2,0,2796364
420130ff548df2ba,toc_domespanels03_colour.dds.header,Tiny.V6,31803106,1520
c1751c9b9b16bf87,toc_domespanels05c.mat,Tiny.VE,22667813,976
7fef9d8e27aba03f,toc_domespanels05_normal.dds,Streaming/Content/data/balance/worldareas/90/g4_8a.vworld,74967,5592580
36c21dfd8f50b0cc,toc_domespanels05_normal.dds.header,Tiny.V9,32233565,1520
ad7357c2f996f736,toc_domespanels05_colour.dds,Streaming/Content/data/balance/worldareas/E5/mapport.vworld.1,0,5592580
b88b7ac97d30b828,toc_domespanels05_colour.dds.header,Tiny.VD,31969287,1520
a106671abe1c8683,toc_domespanels01c.mat,Tiny.VA,22908412,976
47769763dc22ceeb,toc_domespanels01_normal.dds,Streaming/Content/metadata/terrain/doodads/oriath/51F62C23DDEC2AC4.322B65F484EBF767.largetome01.ao.1,0,5592580
3b773c7bcf24fe40,toc_domespanels01_normal.dds.header,Tiny.VC,32219762,1520
2c4205e261a8a0a2,toc_domespanels01_colour.dds,Streaming/Content/metadata/terrain/doodads/oriath/51F62C23DDEC2AC4.322B65F484EBF767.largetome01.ao,0,5592580
03570623a8e7c794,toc_domespanels01_colour.dds.header,Tiny.V1,31740046,1520
6c59e95788d1bf32,toc_domespanels02c.mat,Tiny.VA,22909388,976
14d5a01ea6feb79b,toc_domespanels02_normal.dds,Streaming/Content/metadata/terrain/doodads/oriath/51F62C23DDEC2AC4.57F8561A0BDB5E90.dominusdesk01.ao.1,0,5592580
b47dacb50dd091df,toc_domespanels02_normal.dds.header,Tiny.V9,32230525,1520
be394631cf85f9dc,toc_domespanels02_colour.dds,Streaming/Content/metadata/terrain/doodads/oriath/51F62C23DDEC2AC4.57F8561A0BDB5E90.dominusdesk01.ao,0,5592580
f4fb2c6a20f49095,toc_domespanels02_colour.dds.header,Tiny.V8,31671796,1520
065e6feddcd18f43,toc_facadereliefs01c.mat,Tiny.VA,22910364,984
443a0be47db87511,toc_facadereliefs01_normal.dds,Streaming/Content/data/balance/worldareas/30/g4_8a.vworld.1,8015,5592580
12d6506a55183f0b,toc_facadereliefs01_normal.dds.header,Tiny.VF,22959265,1520
84451ba998d40966,toc_facadereliefs01_colour.dds,Streaming/Content/data/balance/worldareas/50/g5_11_1.vworld,9049,5592580
64af68e238895adb,toc_facadereliefs01_colour.dds.header,Tiny.V9,32235085,1520
85aff9b90e3a47a4,toc_facadereliefs02c.mat,Tiny.V6,22826530,984
20e36c95117faec7,toc_facadereliefs02_normal.dds,Streaming/Content/data/balance/worldareas/3D/mapport.vworld.1,5592580,5592580
d093950f69b73597,toc_facadereliefs02_normal.dds.header,Tiny.VF,22960785,1520
1e2be8922e657c7a,toc_facadereliefs02_colour.dds,Streaming/Content/data/balance/worldareas/02/g4_8a.vworld,245669,5592580
7434ef28850c02f4,toc_facadereliefs02_colour.dds.header,Tiny.V7,22763627,1520
ca95284610b09a55,toc_column06c.mat,Tiny.VB,22850355,948
72efa018fd227ca0,toc_column06_normal.dds,Streaming/Content/data/balance/worldareas/26/g5_11_1.vworld,0,2796388
4feffd95e8df3a87,toc_column06_normal.dds.header,Tiny.V6,22825690,840
300eb04508a24bb3,toc_column06_colour.dds,Streaming/Content/data/worldareas/99/mapport.vworld,5592580,2796388
0d6c86093ae674cf,toc_column06_colour.dds.header,Tiny.V1,22722605,840
7eac3d63bf32d47c,toc_column02c.mat,Tiny.V3,22635467,2784
3ae6f2a7d758d816,toc_column02_normal_dxt5.dds,Streaming/Content/data/balance/worldareas/C8/mapport.vworld,5592580,5592580
ea1f500368fd40f0,toc_column02_normal_dxt5.dds.header,Tiny.VB,22848835,1520
d2d542ce1ceae7af,toc_column02_colour_dxt1.dds,Streaming/Content/data/balance/worldareas/35/g5_11_1.vworld,0,5592580
6dcbc2c03f29c85c,toc_column02_colour_dxt1.dds.header,Tiny.V4,23085996,1520
bb94af81cdc92b4d,toc_column04c.mat,Tiny.V5,22399870,976
1c37eabf601c2af0,toc_column04_normal_dxt5.dds,Streaming/Content/data/balance/worldareas/D8/g5_11_1.vworld,0,5592580
fc19129aaf341f20,toc_column04_normal_dxt5.dds.header,Tiny.V3,36755092,1520
ea8a9d92aa1582ee,toc_column04_colour_dxt1.dds,Streaming/Content/data/balance/worldareas/BC/g5_11_1.vworld,5592580,5592580
2f111b1d8bd508d2,toc_column04_colour_dxt1.dds.header,Tiny.VB,37688409,1520
1ae61986ace7366b,toc_column03c.mat,Tiny.V2,22974555,976
adc7c10da2923df2,toc_column03_normal_dxt5.dds,Streaming/Content/data/balance/worldareas/59/g5_11_1.vworld,0,5592580
db07410f814f3c6d,toc_column03_normal_dxt5.dds.header,Tiny.VD,22611069,1520
b36bd0082cc92919,toc_column03_colour_dxt1.dds,Streaming/Content/data/balance/worldareas/D5/mapport.vworld.1,0,5592580
ea4e1033563f149d,toc_column03_colour_dxt1.dds.header,Tiny.V1,22721085,1520
b9e6d69b4cbdf1b6,toc_column01c.mat,Tiny.VE,22666837,976
e30a10249dcaa20d,toc_column01_normal_dxt5.dds,Streaming/Content/data/balance/worldareas/25/g5_11_1.vworld,5662409,5592580
bdc44300db1901ca,toc_column01_normal_dxt5.dds.header,Tiny.V0,23030207,1520
1bfcdb93b86cb3b7,toc_column01_colour_dxt1.dds,Streaming/Content/data/balance/worldareas/7F/g5_11_1.vworld,0,5592580
f33d5ecf8cdb50fb,toc_column01_colour_dxt1.dds.header,Tiny.V9,23215259,1520
fdca7d8f8814cf34,toc_column05c.mat,Tiny.V8,22890442,948
944caba9a54903a6,toc_column05_normal.dds,Streaming/Content/data/balance/worldareas/93/g4_8a.vworld.1,5610560,5592580
36b7d65be7694649,toc_column05_normal.dds.header,Tiny.V5,22400846,1520
fb981f45aad1351e,toc_column05_colour.dds,Streaming/Content/data/worldareas/69/mapport.vworld,13994668,5592580
4eaf31a0f6a071fc,toc_column05_colour.dds.header,Tiny.VB,32005237,1520
39f1c90375fd99e5,toc_architecturekit02c.mat,Tiny.V9,23213395,1864
5a3f9253c420b585,toc_architecturekit02_normal_dxt5.dds,Streaming/Content/data/balance/worldareas/70/mapport.vworld.1,0,5592580
09189cf0460a3e9e,toc_architecturekit02_normal_dxt5.dds.header,Tiny.V2,31909807,1520
69d605b4537cbc46,toc_architecturekit02_metal_dxt1.dds,Streaming/Content/data/balance/worldareas/DB/g5_11_1.vworld,18058,2796364
7a80a6b84624dad2,toc_architecturekit02_metal_dxt1.dds.header,Tiny.V7,31797923,1520
1ca6144c3ef7c4c2,toc_architecturekit02_colour_dxt1.dds,Streaming/Content/data/balance/worldareas/2D/g4_8a.vworld,5723380,2796364
7045547ac0efc28d,toc_architecturekit02_colour_dxt1.dds.header,Tiny.V5,31373577,1520
952dac4c0bccc07d,toc_railing01c.mat,Tiny.V0,23031727,1462
9117fd7712cd332e,toc_railing01_normal.dds,Streaming/Content/data/balance/worldareas/CE/g4_8a.vworld,1404116,5592580
b6f683b87464e303,toc_railing01_normal.dds.header,Tiny.V8,31677794,1520
878adb274711b64b,toc_railing01_metal.dds,Streaming/Content/data/worldareas/5A/mapboulevard.vworld,5592580,5592580
2964208c32d1a4f2,toc_railing01_metal.dds.header,Tiny.VB,32061011,1520
70cb24a229cfea9b,toc_railing01_colour.dds,Streaming/Content/data/balance/worldareas/AA/g4_8a.vworld,299901,5592580
826b7b0ea40e1b57,toc_railing01_colour.dds.header,Tiny.VD,22612589,1520
b20f4cbccf0abd16,toc_relief02c.mat,Tiny.V1,22724429,1132
fbe8c7c31606200a,toc_relief02_normal.dds,Streaming/Content/data/balance/worldareas/2D/g4_8a.vworld,8519744,2796388
ee606933a16d4c85,toc_relief02_normal.dds.header,Tiny.VC,22893538,840
f77897f0817b4c7e,toc_relief02_colour.dds,Streaming/Content/data/balance/worldareas/20/g4_8a.vworld,467361,2796388
a2d90ffd81f850bb,toc_relief02_colour.dds.header,Tiny.VA,22911348,840
83e4cde54f5ff094,toc_reliefgold01c.mat,Tiny.V8,22891390,2444
0b4db7fb029ebfa6,toc_reliefgold01_normal_dxt5.dds,Streaming/Content/data/worldareas/8F/mapport.vworld,0,5592580
57df07842521100e,toc_reliefgold01_normal_dxt5.dds.header,Tiny.VF,31955926,1520
d4713f876f30e619,toc_reliefgold01_colour_bc7.dds,Streaming/Content/data/balance/worldareas/BD/g4_8a.vworld.1,0,5592580
e976f5cdda2953fc,toc_reliefgold01_colour_bc7.dds.header,Tiny.V3,31452564,1520
019f4198a82d1ddc,toc_reliefgold02c.mat,Tiny.V3,22638251,1244
af788282ad3875b8,toc_reliefgold02_normal_dxt5.dds,Streaming/Content/data/worldareas/8F/mapport.vworld,5592580,2796388
cc38effc19459460,toc_reliefgold02_normal_dxt5.dds.header,Tiny.V3,31454084,840
03ecb1305e44e952,toc_reliefgold02_colour_bc7.dds,Streaming/Content/data/balance/worldareas/CF/g4_8a.vworld.1,5592580,2796388
7c31a1fc1015b670,toc_reliefgold02_colour_bc7.dds.header,Tiny.V4,32122596,840
2bd50fb345419d53,toc_buildingtrim02c.mat,Tiny.V0,23029063,1144
c4634ddeea511f87,toc_buildingtrim02_normal.dds,Streaming/Content/data/balance/worldareas/17/g5_11_1.vworld,306034,5592580
a86dcaf5cc347d20,toc_buildingtrim02_normal.dds.header,Tiny.VA,22906892,1520
cc9a9bc37590f144,toc_buildingtrim02_colour.dds,Streaming/Content/data/balance/worldareas/5E/g4_8a.vworld.1,6037625,5592580
e9b9afb492825ccb,toc_buildingtrim02_colour.dds.header,Tiny.V0,23027543,1520
e0f26f8cd00c2502,toc_buildingtrim01c.mat,Tiny.VA,22905748,1144
4d756bedf04f8b3f,toc_buildingtrim01_normal.dds,Streaming/Content/data/balance/worldareas/B5/mapport.vworld.1,11185160,5592580
add47d3e057394bb,toc_buildingtrim01_normal.dds.header,Tiny.VB,4323381,1520
aa71fc398575bafd,toc_buildingtrim01_colour.dds,Streaming/Content/data/balance/worldareas/A9/mapport.vworld,5592580,5592580
af9e4e6e7325474c,toc_buildingtrim01_colour.dds.header,Tiny.V7,37255132,1520
3eff65409943e371,toc_walltile01c.mat,Tiny.VA,22912188,4466
847dc0ec06c46b95,toc_walltilevertpaint02_colour.dds,Streaming/Content/data/balance/worldareas/E9/mapport.vworld.1,0,2796364
9986187eebc26c1b,toc_walltilevertpaint02_colour.dds.header,Tiny.V5,22402366,1520
bc7587113b081771,toc_walltilevertpaint01c.mat,Tiny.VA,22912188,4466
89ef8bd3124da844,toc_walltilevertpaint01_normal.dds,Streaming/Content/data/balance/worldareas/8D/g4_8a.vworld,1654102,5592580
b146bdce9a1ea645,toc_walltilevertpaint01_normal.dds.header,Tiny.VD,22615629,1520
e16afbedac50ff38,toc_walltilevertpaint01_colour.dds,Streaming/Content/data/balance/worldareas/A6/g4_8a.vworld,11470160,2796364
1699a13e52c309a7,toc_walltilevertpaint01_colour.dds.header,Tiny.VD,22614109,1520
176d070f329d4006,toc_marblesecondary01c.mat,Tiny.V2,22978803,992
