hash,file,bundle,offset,size
9c054f1fc9c1db92,poof_grad.mat,Tiny.V0,37154183,1310
baaac89b30502e0b,poof_grad.dds,Streaming/Content/metadata/particles/monster_effects/talisman/21CA48B5300A7C2B.C0C17DCBE9A5D4FA.on_basecyl.pet,218888,22020
8e8dbe5f753280dd,poof_grad.dds.header,Tiny.V0,3531831,1520
3c14f0aa060e9d94,page.mat,Tiny.V4,37098610,1822
c5938d5b00351232,page.dds,Streaming/Content/metadata/particles/enviro_effects/league_synthesis/FA31D33EA651CD3B.disto.pet,515096,175012
ace422929027dec4,page.dds.header,Tiny.V0,37153839,344
f0af6695a64c062b,middle_detail.mat,Tiny.VD,37144435,1900
8766f023da497304,middle_detail.dds,Streaming/Content/metadata/particles/monster_effects/league_abyss/F98EF072AFCA807C.orb_trail.trl,1061616,22020
43b965338a64faf9,middle_detail.dds.header,Tiny.V5,36090035,1520
76e37ddbbb62de9a,blink_spiral.mat,Tiny.V4,37095912,2698
89bd733d9c406e9d,blink_spiral.dds,Streaming/Content/metadata/particles/monster_effects/talisman/21CA48B5300A7C2B.C0C17DCBE9A5D4FA.idle_midline.pet,721780,87556
a484ef9b1991c71e,blink_spiral.dds.header,Tiny.V8,40322346,1520
c788e6ddefd8fad2,spark_suckin.mat,Tiny.VD,37146335,1772
77099e89c32f175b,spark_suckin.dds,Tiny.V5,36579177,516
2f6f1b91466b9e6e,spark_suckin.dds.header,Tiny.V6,36872643,1520
