hash,file,bundle,offset,size
ae20d611657995d5,maxres.mat,Tiny.V4,38898136,3046
2f835d06eaf3ebd3,maxres.dds,Streaming/Content/metadata/particles/monster_effects/kitava_red/60DCC26AA7C63AF0.D49AD5188C8ADFC5.midline.pet,1055812,87588
3e2054492f10668f,maxres.dds.header,Tiny.V8,35608581,504
43f55321cb438642,wisp_smoke_base.mat,Tiny.V0,39024878,2308
85bb95d9dd9fd913,wisp_smoke_base.dds,Streaming/Content/metadata/particles/monster_effects/kitava_red/60DCC26AA7C63AF0.D49AD5188C8ADFC5.midline.pet,464944,43876
e2fdc40cc259ab52,wisp_smoke_base.dds.header,Tiny.VD,41507291,840
e7739eecd12d987c,grad_sub.mat,Tiny.V1,38604447,2036
3c94101d841cfc28,grad_sub.dds,Streaming/Content/metadata/particles/monster_effects/kitava_red/60DCC26AA7C63AF0.D49AD5188C8ADFC5.midline.pet,0,22020
27230bebfc2a58cc,grad_sub.dds.header,Tiny.VF,6651419,1520
b0c7fd9a90ddf86d,ground_crack_multi.mat,Tiny.V4,38896908,1228
42f1596760871ffe,ground_crack_multi.dds,Streaming/Content/metadata/particles/monster_effects/kitava_red/60DCC26AA7C63AF0.D49AD5188C8ADFC5.midline.pet,22020,349732
8290d0c656aa5651,ground_crack_multi.dds.header,Tiny.V8,38435151,504
