hash,file,bundle,offset,size
1449322d081dabba,impactaoering_r.mat,Tiny.V2.1,82935652,35942
a19650c1d568add3,grd_wind_r.mat,Tiny.V3.1,81308667,28350
5837e88d2d713f93,cometimpact_bloodstreak_02_u.mat,Tiny.V5.1,81447024,8164
87d47469c3ac2ce1,cometimpact_bloodstreak_01_r.mat,Tiny.V2.1,82897004,38648
9c8eb08f3879bf2d,cometimpact_bloodstreak_01_u.mat,Tiny.V1.1,81113892,8650
197c6b91ec578a21,cometimpact_bloodribbon_02_u.mat,Tiny.V7.1,80103110,30236
ab939a766975c87c,cometimpact_bloodribbon_01_r.mat,Tiny.VB.1,81736939,29552
bb1ba958be29fe5f,cometimpact_bloodribbon_01_u.mat,Tiny.V1.1,81084326,29566
2d0e97cb17a5ccb0,shockwave_blur_r.mat,Tiny.VA.1,80884890,25268
f3e5169214375021,sphere_distortion_r.mat,Tiny.VC.1,83397011,12890
93c4ca553cc7a456,smoke_r1.mat,Tiny.V6.1,160834079,26208
26cf308940ee6fa7,smoke_u1.mat,Tiny.VB.1,79428623,11822
5d21a32526df9840,bv_blood_spray_02_u.mat,Tiny.V6.1,82093611,16150
c638fd6bdd417151,bv_blood_spray_01_r.mat,Tiny.V9.1,85174986,29428
bc1ee232fec787a1,bv_blood_spray_01_u.mat,Tiny.VB.1,81722161,14778
a7b116a5ac4d941b,point_u.mat,Tiny.VE.1,12556962,310
a9821811c9926aef,point_distortion_r.mat,Tiny.V3.1,81337017,13248
4c2b1ddb4a4310aa,point_grd_u.mat,Tiny.V0.1,25776484,540
322e27c521b01834,dirt_r1.mat,Tiny.V7.1,80133346,30572
8bcf9d23967de156,dirt_u1.mat,Tiny.V9.1,82371756,13660
0d5ee758cc14f369,debris_r1.mat,Tiny.V4.1,81059614,36262
9e387900473e0138,debris_u3.mat,Tiny.V6.1,82109761,17158
8fca0462911a05a4,debris_u1.mat,Tiny.V9.1,85204414,20598
25b7a835c0e5f51b,debris_u2.mat,Tiny.V8.1,82980124,20076
