hash,file,bundle,offset,size
19c4e01446e51707,glow_r.mat,Tiny.V3.1,82832933,14062
15ca60b9672fac0e,distortion_r.mat,Tiny.V2.1,83980920,12006
6c0d8e93ba3a0939,bloodmist_r.mat,Tiny.V0.1,82847618,38360
60f04157473886d3,bloodmist_u.mat,Tiny.VE.1,89493266,3624
48084375be42f002,shockwavegrounddark_r.mat,Tiny.VF.1,80094508,19342
3ce81d6ad04d44f1,shockwavegrounddark_u.mat,Tiny.VE.1,12556962,310
faa694e034b6f988,shockwaveground_r.mat,Tiny.V6.1,83332347,20858
457f2bd0bcff9bbe,shockwaveground_u.mat,Tiny.VE.1,12556962,310
cae0cd3833b341f5,shockwave_r.mat,Tiny.V5.1,82638112,21746
19ddcf0c3d68de0e,shockwave_u.mat,Tiny.VE.1,12556962,310
10f826d55284b2b3,energy_streaks_u.mat,Tiny.VE.1,12556962,310
03da4070fcb8cc4d,explode_r.mat,Tiny.VE.1,83676638,38882
82b0c81bf64ce275,explode_u.mat,Tiny.V9.1,139443870,548
