hash,file,bundle,offset,size
5e272a9089dc5cd1,arrow_head_r.mat,Tiny.VA.1,172211062,38020
23acf279d5845e29,arrow_head_u.mat,Tiny.V0.1,173200302,13456
5050d437c5560358,embers_r.mat,Tiny.V9.1,174579676,26020
c53f4d40bbde8b9c,embers_u.mat,Tiny.VD.1,173301234,13840
0e6fb70550618e51,fine_debris_r.mat,Tiny.VE.1,170771310,40558
7746893305b2c061,fine_debris_u.mat,Tiny.V4.1,174415034,13308
132b669057058bd3,rock_debris_r.mat,Tiny.V8.1,174383100,17544
321558187affb84d,rock_debris_u.mat,Tiny.V6.1,171273763,21460
06b980a0e8fa5a88,stun_glow_r.mat,Tiny.VA.1,172249082,46648
c107bf7bb1fd0957,stun_glow_u.mat,Tiny.V1.1,173477752,2208
1fe218afd04e21da,smoke_puffs_r.mat,Tiny.VD.1,173317282,19696
4354c2f794c059d4,smoke_puffs_u.mat,Tiny.V4.1,174428342,11780
e6bc454b815e0228,smoke_ring_r.mat,Tiny.VB.1,172558453,28382
10d01444d364d811,smoke_ring_u.mat,Tiny.V0.1,173213758,2208
8fab64ac1eca56fe,shimmer_shockwave_0_r.mat,Tiny.V9.1,174613610,42476
188ce1e10b3c99f3,shimmer_shockwave_1_r.mat,Tiny.V5.1,173250252,25872
5533804319767fe8,shimmer_shockwave_u.mat,Tiny.V1.1,173477752,2208
1bedc32d80cef3bc,shimmer_aoe_r.mat,Tiny.V8.1,174400644,8580
73c12eee6b427faa,shimmer_aoe_u.mat,Tiny.V6.1,171295223,2208
5644735dff7702ea,shimmer_center_r.mat,Tiny.V9.1,174605696,7914
6082764bd755e4da,shimmer_center_u.mat,Tiny.V5.1,173248044,2208
0f2ccafee66fbb27,impact_wind_r.mat,Tiny.V2.1,175249322,48006
965d18674493ecf5,impact_wind_u.mat,Tiny.VD.1,173315074,2208
