hash,file,bundle,offset,size
db23e24b064e705d,light_rays_cone.mat,Tiny.V7,40091965,2880
1e6dff3379dee228,light_rays_cone_dxt5.dds,Streaming/Content/metadata/particles/monster_effects/league_legion/D05975759C99E844.61D9D69A6DA38F4A.subtrail.trl,591552,349700
26c53170b62e2b95,light_rays_cone_dxt5.dds.header,Tiny.V4,40299810,1520
14e740b1aa60baef,shimmer_hlines.mat,Tiny.V4,40302850,2506
6d5031e4ca5a5ee4,shimmer_hlines_dxt5.dds,Streaming/Content/metadata/particles/monster_effects/league_legion/F05730829C0CA3B4.023CEECC4D7F1DFF.grdup_churn.pet,393576,22020
5fa51a3aabebf166,shimmer_hlines_dxt5.dds.header,Tiny.VD,34759393,1520
65c19c1806f82f69,scroll.mat,Tiny.V1,40075193,3716
a43d00470dceecb3,scroll_dxt1.dds,Streaming/Shared/Super/Shared.1,3279408,43852
43a555efbf9d8248,scroll_dxt1.dds.header,Tiny.VC,35886507,1520
c9986daa492fd2cf,sand_charge.mat,Tiny.V3,39448983,2882
ab197a6b287a47a0,sand_charge_dxt1.dds,Streaming/Content/metadata/particles/monster_effects/league_legion/D80EDF62996D803B.CF4323198FBA0297.ptbuild.pet,284688,43852
663660cd7f7d8f03,sand_charge_dxt1.dds.header,Tiny.V4,40301330,1520
a3163d326973f823,spark2.mat,Tiny.VC,40431409,2738
ca89d8f28711c50c,spark2_dxt3.dds.header,Tiny.VA,40471325,1520
