hash,file,bundle,offset,size
1ea043c2dbfb96f9,unarmed_surge_pass.mat,Tiny.V7.1,47417910,34592
35eb88650b53d1a1,molten_proj_embers_r.mat,Tiny.VF.1,49210808,30794
21e8fa326a410e11,molten_proj_embers_u.mat,Tiny.V6.1,49396637,18090
87d33105ab2ecdb1,molten_proj_ribbon_r.mat,Tiny.V0.1,50183838,66510
50f02f156842c26c,molten_proj_ribbon_u.mat,Tiny.VF.1,49169530,17586
3954daeb6dc4de83,molten_proj_lead_r.mat,Tiny.V2.1,51325646,52400
0deb3bcba91d6983,molten_proj_lead_u.mat,Tiny.VF.1,49168040,1490
7661de567fed4d8c,molten_proj_main_r.mat,Tiny.V0.1,50141844,41994
3bb64dcb2cb55625,molten_proj_main_u.mat,Tiny.VF.1,49168040,1490
53e61d1c7683f956,impact_rubble_r.mat,Tiny.V0.1,50071772,44034
cd7b8d142657b64e,impact_rubble_u.mat,Tiny.VC.1,51450401,23494
37b5f981de86d357,impact_long_flames_r.mat,Tiny.V4.1,50578964,54154
59b16431161117f8,impact_long_flames_1_r.mat,Tiny.V0.1,50020808,50964
c2e56def230af5dc,impact_long_flames_u.mat,Tiny.VF.1,49141738,8584
402c39421e8335be,impact_glow_r.mat,Tiny.V1.1,49326844,17986
743977e4619ff4ff,impact_glow_u.mat,Tiny.VD.1,5313278,346
d13b3d969639586b,impact_coneflash_r.mat,Tiny.V0.1,49966580,54228
bc37e1ead445fa33,impact_coneflash_u.mat,Tiny.V5.1,51394510,2292
e2271c70d4cfda68,impact_embers_r.mat,Tiny.VF.1,49210808,30794
26bedc321875bf23,impact_embers_u.mat,Tiny.VF.1,49122454,19284
0c2832432a93fbb6,impact_smoke_puffs_r.mat,Tiny.VB.1,50320479,28466
91f8c2e6b7282d5a,impact_smoke_puffs_u.mat,Tiny.VF.1,49150322,17718
108daab10941d9a0,impact_spike_crumble_r.mat,Tiny.VC.1,51473895,55646
2c3a99900737636e,impact_spike_crumble_u.mat,Tiny.V0.1,50115806,26038
7d5e713a9eea08ab,aoe_embers_r.mat,Tiny.V4.1,50523628,29504
eefcab53ec0d79ab,aoe_embers_u.mat,Tiny.V4.1,50553132,25832
94c2645b765cc271,aoe_blur_r.mat,Tiny.VF.1,49105616,16838
d20b374b515714a0,aoe_blur_u.mat,Tiny.V6.1,49394397,2240
70b220f182723d65,aoe_ring_u.mat,Tiny.V0.1,49964174,2406
2354f8995d16975d,aoe_ring_r1.mat,Tiny.VE.1,51296520,32354
eca4f0e5e7c0c040,aoe_ring_r2.mat,Tiny.V5.1,51369540,24970
9fe68d3b67a453f4,aoe_shimmer_r.mat,Tiny.V1.1,49315788,11056
fa3df2d48047d958,aoe_shimmer_u.mat,Tiny.V0.1,102581422,2172
b8bccabbdc2d66e9,weapon_surge_pass.mat,Tiny.VB.1,50404857,31060
af16e1014efb43d1,weapon_surge_glow_r.mat,Tiny.V9.1,54579724,18450
6a5ba947ddca9c1e,weapon_surge_glow_u.mat,Tiny.VE.1,51477082,1902
b00acbb8805a3860,weapon_surge_embers_r.mat,Tiny.VF.1,49210808,30794
3113abead0d7d730,weapon_surge_embers_u.mat,Tiny.VB.1,50387919,15274
6b9a92a4ed397c85,weapon_surge_ribbon_r.mat,Tiny.V4.1,50651076,56518
69e907aba04e5de2,weapon_surge_ribbon_u.mat,Tiny.VA.1,51403802,17588
4eb46adc9ea0c9dd,weapon_surge_orb_r.mat,Tiny.V0.1,50351408,36960
a7b379046bc3befc,weapon_surge_orb_u.mat,Tiny.VB.1,50403193,1664
b70c3316c7e89146,secondary_trail.mat,Tiny.V0.1,50252786,33128
6ecfb564f2ab8eed,secondary_shimmer_r.mat,Tiny.V4.1,176087326,21564
90813ec8339f85fd,secondary_shimmer_u.mat,Tiny.VC.1,178364557,6942
ab1a3b963c7aff82,secondary_embers_r.mat,Tiny.V5.1,51396802,30764
dea60b5524670bcf,secondary_embers_u.mat,Tiny.V4.1,176066938,20388
c60567e82002fc89,secondary_main_r.mat,Tiny.VA.1,51376272,27530
5ab5728c27d05014,secondary_main_u.mat,Tiny.V8.1,175954500,3388
fe4d7ea8f73a487b,secondary_aoe_decal_r.mat,Tiny.V2.1,51378046,51192
c23dd65ba13ea5a6,secondary_aoe_decal_u.mat,Tiny.V0.1,50250348,2438
dfbad7b20fed3650,secondary_impact_shimmer_r.mat,Tiny.VC.1,51529541,10546
277eb3b7ae9ebc81,secondary_impact_shimmer_u.mat,Tiny.VD.1,5313278,346
043389c37a7dca18,secondary_impact_rubble_r.mat,Tiny.V2.1,51440736,41938
2129ccf6730dc85b,secondary_impact_rubble_u.mat,Tiny.V2.1,51482674,23498
32c6d2a733106996,secondary_impact_flames_0_r.mat,Tiny.V8.1,52395104,49682
820444f6c2d7af19,secondary_impact_flames_1_r.mat,Tiny.VE.1,51328874,47982
2a1a676775d1376d,secondary_impact_flames_u.mat,Tiny.V2.1,51429238,11498
faca84879b2d8f2c,secondary_impact_glow_r.mat,Tiny.V4.1,50633118,17958
4433567c17ab3fb2,secondary_impact_glow_u.mat,Tiny.VD.1,5313278,346
81fc4ca6386448dc,secondary_impact_embers_r.mat,Tiny.VA.1,51345496,30776
543dec9128e29c14,secondary_impact_embers_u.mat,Tiny.V3.1,177376765,16254
