hash,file,bundle,offset,size
6d3102f7e4594c70,chargeweapon_skin.mat,Tiny.VA.1,77172180,34332
2c637e955ab7e711,chargeunarmed_skin_l.mat,Tiny.V4.1,77670622,17366
f3e998e5ad887ef0,chargeunarmed_skin_r.mat,Tiny.V0.1,78251680,17500
5d7ee159c718e7dc,weaponlightning_r.mat,Tiny.V8.1,79585728,30716
fcdf556cde95fad2,weaponlightning_u.mat,Tiny.VF.1,39888422,5392
ac797433e90c1ace,weaponbolts_u.mat,Tiny.VB.1,39867433,8514
6894b516e2fb1966,weaponbolts_r1.mat,Tiny.VA.1,77245756,37284
3aea8ad93f9b8c81,weaponbolts_r2.mat,Tiny.V8.1,79567630,18098
992a6a6cce02b0d4,lightning_ribbonbolt_r.mat,Tiny.VC.1,79595989,30716
a5484c9c98a7da3e,lightning_ribbonbolt_u.mat,Tiny.V8.1,79561432,6198
3c5a472388402a43,groundhit_windblast_render.mat,Tiny.V9.1,81180528,49534
8cb9558183c33e91,groundhit_windblast_update.mat,Tiny.VE.1,79517050,2362
4334f6b3449d76ce,groundhit_flash_render.mat,Tiny.V6.1,78358987,42280
a73c6822f08b9411,groundhit_flash_update.mat,Tiny.VD.1,77207098,3884
d03d5c756f5bedc0,grddestruction_r.mat,Tiny.V0.1,78269180,54366
5bcd1761454bc403,grddestruction_u.mat,Tiny.V3.1,39291503,568
6057dbad4bd9dbb5,grdsteam_r.mat,Tiny.V6.1,78342037,16950
dd7b156b2f08c55d,grdsteam_u.mat,Tiny.V4.1,39842884,9040
8c95493b02ce647d,grdsparks_r.mat,Tiny.VC.1,41310817,23842
23c8f7925c6763ec,grdsparks_u.mat,Tiny.V8.1,41929208,12762
1007d27e626f498b,stormcore_r.mat,Tiny.V3.1,78077501,55496
c236ea660491a162,stormcore_u.mat,Tiny.V2.1,136423296,1488
3cf581f806571ef5,stormblade_r.mat,Tiny.VA.1,77206512,39244
840d5b7d32bb5df6,stormblade_u.mat,Tiny.V2.1,41071966,4890
