hash,file,bundle,offset,size
f801538e6dc553fd,idle_crown.pet,Tiny.V0.1,141047030,3186
1a49ed9a8278400d,body.trl,Tiny.V1.1,142102802,3130
eecad7794bf2c531,large_circle.pet,Tiny.VB.1,143283231,5944
2805ac877556dd23,flare_explode.pet,Tiny.V6.1,141028339,12886
e386875772107979,emerge_dirt_explode.pet,Tiny.VA.1,142530216,14498
ccf41b9a49a3547b,end_trail.trl,Tiny.VB.1,143280251,2980
389f71ee9ec91dbb,spark.pet,Tiny.V5.1,140726110,21754
5e5cfb1bb008bc51,shock_emit.pet,Tiny.VC.1,143909787,21868
6ddf9e31f3bb771f,air_wake.pet,Tiny.VE.1,140184692,7932
236f0b525e4979b2,air_wake_04.pet,Tiny.V5.1,140695200,7790
8553bbfcaafa6ee5,air_wake_dash.pet,Tiny.VE.1,140192624,11208
acc8f7f218e5e026,attack_04.trl,Tiny.V1.1,142102802,3130
3bea29775a462e43,attack_03_weapon.trl,Tiny.V1.1,142102802,3130
25e45eaa46942b66,attack_01.trl,Tiny.V0.1,141027662,3130
d80ad1bb8ead83cf,attack_01_circle.pet,Tiny.VA.1,142523988,3094
725ba3f57c3d1c16,cyclone_weapon.trl,Tiny.V7.1,139226208,3134
eb16e8acce1e0839,cast_shock.pet,Tiny.VD.1,140965034,11840
3d2354cc9de0cbf9,projectile.trl,Tiny.V5.1,140718960,7150
b42aff64abdd8167,projectile_idle.pet,Tiny.VC.1,143894337,15450
2c8880f3be35c39f,telegraph_smoke.pet,Tiny.V0.1,141050216,9814
6bdf58fa04801a2d,trailer_weapon.trl,Tiny.VF.1,139096624,1548
0be17dba1d8b4d3d,trailer_shock.pet,Tiny.V7.1,139253604,6266
2c4805eb57a0185f,volatile_projectile_impact.pet,Tiny.V9.1,143111764,15214
9d48b2539a8defe1,volatile_explode.pet,Tiny.VF.1,139098172,21630
2f18ce9256d97d67,volatile_orbemit.pet,Tiny.V1.1,142128346,12650
b53c5bbdf8a73677,volatile_orbemit_start.pet,Tiny.VF.1,139119802,12650
6c02719c95d605c2,volatile_orbemit_chargeup.pet,Tiny.V7.1,139259870,18568
66a20e16742a4a00,volatile_orbemit_cast.pet,Tiny.V4.1,141770564,16002
b50cf7efd8fe8686,volatile_orbemit_cast_end.pet,Tiny.VF.1,139119802,12650
6482ec90d89363f3,wave.trl,Tiny.V5.1,140747864,4426
0d0173486cb34448,weapon_trail.trl,Tiny.V1.1,142102802,3130
9311efebb38d6646,weapon_smoke.trl,Tiny.VF.1,117500562,4
be77d5ae4d06e045,melee_cleave_cyclone_01.pet,Tiny.V9.1,143098428,13336
76f18fea9fc4f6a9,melee_cleave_dash.pet,Tiny.V8.1,142126718,9650
136e5d8eaeb57a71,melee_cleave_attack_01.pet,Tiny.V5.1,140706018,9506
4eb69e613fd0e193,melee_cleave_attack_03_01.pet,Tiny.V3.1,142391309,9572
1bfb8de4da4ffb0f,melee_cleave_attack_02_02.pet,Tiny.V6.1,141041225,9764
a4c9916fe3609f5a,melee_cleave_attack_02_01.pet,Tiny.V8.1,142120238,6480
fd3497c3a02ab185,melee_cleave_attack_02_03.pet,Tiny.V1.1,142118952,9394
82346dc81ea4d20d,dark_storm_circle.pet,Tiny.V1.1,142105932,3138
35127d18d54a14ad,dash.trl,Tiny.V1.1,142102802,3130
f684bf735ea224d8,dash_suck_circle.pet,Tiny.V5.1,140702990,3028
8e962f7f87b90888,dash_weapon.trl,Tiny.V1.1,142102802,3130
bb6920861cf06a12,death_beam_trail.trl,Tiny.VE.1,140203832,2976
b73a6f39f66d0d04,death_circle.pet,Tiny.VD.1,140976874,6404
e884314b4ecbc41e,death_cleave_01.pet,Tiny.VD.1,140983278,6398
e27bf68425c042f7,death_cleave.pet,Tiny.V0.1,141030792,6380
9b6367207f1779b1,dual_strike_cleave_01.pet,Tiny.VE.1,140206808,6530
b926039e662ba739,dual_strike_cleave_02.pet,Tiny.VC.1,143887833,6504
4b198449b80c17b7,dual_strike_wave.pet,Tiny.V3.1,142381391,9918
3ee77be08ced0e36,dual_strike_weapon.trl,Tiny.VA.1,142527082,3134
aacd23d4ae3141c7,dual_cleave_01.pet,Tiny.V1.1,142109070,9882
6cacb2154cf2078b,dual_cleave.pet,Tiny.V0.1,141037172,9858
e5a00703a39c46a7,oomph.pet,Tiny.V6.1,141054249,5956
fcdfff9978cd6ff2,on_hit.pet,Tiny.VB.1,143289175,16070
eb6ee62006589d1e,on_act_shock_suck.pet,Tiny.V7.1,139244360,9244
621b315c937b0634,on_act_teleport.pet,Tiny.V2.1,143685820,3466
2ef1012ffb04a726,on_act_dual_shock_suck.pet,Tiny.V7.1,139229342,15018
ee55336c31a8d3a6,on_act_dash_weapon_charge.pet,Tiny.V8.1,142136368,11496
bc47b06d9b9c09e9,on_act_dash_flare.pet,Tiny.VD.1,140989676,5968
06da95d5d3ffd6d8,on_act_death_smoke_drip.pet,Tiny.V5.1,140715524,3436
51913473039ad477,on_act_death_hit.pet,Tiny.V6.1,141050989,3260
