hash,file,bundle,offset,size
25f8d136c7672f73,muzzleflash_r.mat,Tiny.VA.1,147456648,52000
293d67ef45e5e4ab,muzzleflash_cone_r.mat,Tiny.V4.1,146870724,45618
c1c8f78167dad968,muzzleflash_u.mat,Tiny.VD.1,5313278,346
9de253790843d40c,embers_r.mat,Tiny.VA.1,147417576,39072
813624c8ed10d61b,emberstrings_u.mat,Tiny.VD.1,147146248,27340
7b6f96fd7618f21b,explode_blur_r.mat,Tiny.V7.1,144733698,11466
37b191b5b6191834,explode_blur_u.mat,Tiny.VD.1,5313278,346
a7bf87706afbb6f0,armglow_r_pass1.mat,Tiny.VB.1,148056659,32212
be490c5c927c031a,armglow_l_pass1.mat,Tiny.V5.1,146932312,32210
13fbb3f5ae1a94ff,armglow_channel_pass1.mat,Tiny.V6.1,147082559,54378
16317179a40f3e23,iceimpact_frostclouds_r.mat,Tiny.V8.1,152639714,39002
26f6bfdf2359a1a1,iceimpact_frostclouds_u.mat,Tiny.V6.1,147136937,10106
14cda4e3f7ea6fa9,blur_trail_01.mat,Tiny.V1.1,147598452,16186
db877799015c9188,beasttentacles_r.mat,Tiny.V9.1,148710434,54554
ff8824838ce14ec2,beasttentacles_u.mat,Tiny.V2.1,153869704,3772
30b28a594cde8fa3,beasttentacles_start_u.mat,Tiny.V1.1,147595806,2646
5507808a17937f7a,cold_trail_01.mat,Tiny.V4.1,146829946,40778
d83fe7d30ce93e4b,coc_crystalflakes_r.mat,Tiny.V9.1,153796018,24124
72f877e926a65749,coc_crystalflakes_u.mat,Tiny.V2.1,149523148,26582
e7d2f026d1f4f05a,channel_r1.mat,Tiny.VA.1,147409066,8510
2685e0a9b5e19ab2,channel_u.mat,Tiny.VD.1,5313278,346
5209fe24ac225590,verisiumswirl_ribbons_r.mat,Tiny.V6.1,147147043,41580
6e2559c214300060,verisiumswirl_ribbons_u.mat,Tiny.VD.1,147173588,15076
