hash,file,bundle,offset,size
c10374e4ad334547,shock.ao,Tiny.V8.1,18446630,1476
593073ca6122bdeb,chill.ao,Tiny.V5.1,74535788,1476
05bc35d63329609c,fire.ao,Tiny.VD.1,73944844,1474
e6d27329b28e5984,electrocute.ao,Tiny.V7.1,172927286,2038
fdf895ba1836000e,electrocutelarge.ao,Tiny.VA.1,174737112,1956
ad87ae3c7723ac24,poison.ao,Tiny.V4.1,16483410,1184
ddd0b07f013ab59a,playerstun.ao,Tiny.VB.1,175172769,1368
719c843a1f2892a0,playerpoison.ao,Tiny.V3.1,178278927,1224
55e20ba73cf09618,playerfire.ao,Tiny.VC.1,179344053,1576
134f3953c02f86c2,playerfreeze.ao,Tiny.V4.1,176903328,1580
