hash,file,bundle,offset,size
9aec66dda64c6bec,karuifirebowl01_glow.mat,Tiny.VA.1,200325192,6080
4f92b75c663c26c2,coalsc.mat,Tiny.V0.1,200636510,28670
e2b0c9b5996a3aad,body_wisps_r.mat,Tiny.VE.1,197875993,33600
28e536f3dd585bf4,body_wisps_u.mat,Tiny.V0.1,200624310,12200
4edfe2e5b2708728,heat_distort_r.mat,Tiny.V6.1,4363421,9842
bfe0f68f3e5d498c,heat_distort_u.mat,Tiny.V8.1,199937943,7980
5c41b3e5674e52ec,embers_r.mat,Tiny.V5.1,196994784,31344
a9dd124eebe247ef,embers_u.mat,Tiny.V1.1,197248185,20854
02a3b759ab3b0153,fire_pt_r.mat,Tiny.V5.1,196920694,74090
c1a9232f7fdee459,fire_pt_u.mat,Tiny.VF.1,196059739,9600
