hash,file,bundle,offset,size
17f83e122522b4a0,firearmourglovesstr.sm,Tiny.VD,9930683,614
e06caa170c03c0c1,firearmourglovesstr_054e7493.smd,Streaming/Folders/art/models/items/armours/25A2901840946A7B.0D8F7435691AA6C3.microtransactions,0,27697
66d491e57ab4ca73,firearmourglovesstr_054e7493.smd.header,Tiny.VA,9981876,448
f82becb77f0a756e,firearmourglovesstrint.sm,Tiny.V8,9794986,622
ba8695ddc707685f,firearmourglovesstrint_bf43749c.smd,Streaming/Folders/art/models/items/armours/3F5E530A60FA9905.0D8F7435691AA6C3.microtransactions,164043,27767
ddc64e9c927a655a,firearmourglovesstrint_bf43749c.smd.header,Tiny.VF,10029146,448
be93e97efcd3c71b,firearmourglovesstrdex.sm,Tiny.VD,9931297,624
d8d0713afeddf015,firearmourglovesstrdex_2db1e576.smd,Streaming/Folders/art/models/items/armours/D526B4E90316F404.0D8F7435691AA6C3.microtransactions,142349,27863
3fd8920a40452e63,firearmourglovesstrdex_2db1e576.smd.header,Tiny.V4,10055321,448
9a06e8131d0d1dee,firearmourglovesint.sm,Tiny.VC,9880113,618
3891cf8c14e9c002,firearmourglovesint_581c452e.smd,Streaming/Folders/art/models/items/armours/144744F0845F210C.0D8F7435691AA6C3.microtransactions,611555,27729
f77b0756f50e216b,firearmourglovesint_581c452e.smd.header,Tiny.VA,9981428,448
14a752ebd377eec0,firearmourglovesdex.sm,Tiny.V8,9794370,616
4fb88c0ca9a4be27,firearmourglovesdex_8e514a04.smd,Streaming/Folders/art/models/items/armours/7D747DEC255DA77A.0D8F7435691AA6C3.microtransactions,267761,27633
06b37be516a78c00,firearmourglovesdex_8e514a04.smd.header,Tiny.V7,9938731,448
0a14586414bf4d03,firearmourglovesdexint.sm,Tiny.VB,10077263,624
2040b8cda1caf9ee,firearmourglovesdexint_47f15931.smd,Streaming/Folders/art/models/items/armours/B3E56D4D2A5FE672.0D8F7435691AA6C3.microtransactions,99544,27639
b866116d726a6219,firearmourglovesdexint_47f15931.smd.header,Tiny.VD,9930235,448
