hash,file,bundle,offset,size
11d3133506649211,tuft01_mv.dds,Streaming/Content/metadata/effects/spells/monsters_effects/B36A06BC80D721BF.727C650CC2E0D775.decel_shieldthrow.ao,98588,699212
a2b366ce108ef6af,tuft01_mv.dds.header,Tiny.V9,35647507,1520
e80ad165bab527bd,tuft01_mdc2e.dds,Streaming/Content/metadata/effects/spells/monsters_effects/48EC742C51A58BCA.53943745FE743E3A.fire_contact_out_small_grd.pet,5592580,5592580
9bfda9eaa82c7994,tuft01_mdc2e.dds.header,Tiny.V8,34878702,1520
e0a801d5e67d48fc,tuft01_mdc1a.dds,Streaming/Content/metadata/effects/spells/monsters_effects/48EC742C51A58BCA.53943745FE743E3A.fire_contact_out_small_grd.pet,0,5592580
b2852a2d6258e911,tuft01_mdc1a.dds.header,Tiny.VD,35387330,1520
53ba5d341191bb54,gascloud01_mv.dds,Streaming/Content/metadata/effects/spells/monsters_effects/D2D05496620B1656.4E61622EA3B96841.mudpile.pet,50442,699212
7c4bf2d31daf1b8b,gascloud01_mv.dds.header,Tiny.V7,35164512,1520
186acd9315376c88,gascloud01_mdc2e.dds,Streaming/Content/metadata/effects/spells/monsters_effects/48EC742C51A58BCA.AFC556F73B85FCD8.soul_expl_ptemit.pet,5597152,5592580
d0184d507f8f9aeb,gascloud01_mdc2e.dds.header,Tiny.V1,35152447,1520
d00705f5d98c82d1,gascloud01_mdc1a.dds,Streaming/Content/metadata/effects/spells/monsters_effects/48EC742C51A58BCA.AFC556F73B85FCD8.soul_expl_ptemit.pet,4572,5592580
c659a94046348237,gascloud01_mdc1a.dds.header,Tiny.VA,35440853,1520
51182e0f7d36ffde,shockwave01_mv.dds,Streaming/Content/metadata/effects/spells/monsters_effects/8C5C6EE7C40F70C0.EFC969AA7ADC5277.act_unburrow_line.pet.2,0,699212
e6264aadc1395de8,shockwave01_mv.dds.header,Tiny.VC,35520583,1520
040d00dd11aa5b36,shockwave01_mdc2e.dds,Streaming/Content/metadata/effects/spells/monsters_effects/8C5C6EE7C40F70C0.EFC969AA7ADC5277.act_unburrow_line.pet.1,0,5592580
11556e2ea1a2010e,shockwave01_mdc2e.dds.header,Tiny.V8,34877182,1520
43411612ae8a8cd4,shockwave01_mdc1a.dds,Streaming/Content/metadata/effects/spells/monsters_effects/8C5C6EE7C40F70C0.EFC969AA7ADC5277.act_unburrow_line.pet,0,5592580
0f7481034a059e41,shockwave01_mdc1a.dds.header,Tiny.VF,35321102,1520
65a8f6ba364563c7,wisp01_mv.dds,Streaming/Shared/Normal/Shared.2,1445758,699212
2c7d25537d0818c8,wisp01_mv.dds.header,Tiny.VA,35442373,1520
68c9d32c414e4a7b,wisp01_mdc2e.dds,Streaming/Content/metadata/effects/spells/monsters_effects/48EC742C51A58BCA.53943745FE743E3A.icewall_end.pet.1,0,5592580
6ca02457023aeab6,wisp01_mdc2e.dds.header,Tiny.V6,35208908,1520
5189f6cda3501667,wisp01_mdc1a.dds,Streaming/Content/metadata/effects/spells/monsters_effects/48EC742C51A58BCA.53943745FE743E3A.icewall_end.pet,0,5592580
9ba018dcfd07eb04,wisp01_mdc1a.dds.header,Tiny.V4,35455983,1520
