hash,file,bundle,offset,size
52ab1569d5f0bdbd,road_quad_01.arm,Content/data/balance/worldareas/maprustbowl.vworld,3480764,6670
2d9d59b8aaf6a3dd,road_end_01.arm,Tiny.V4.1,209480897,3560
1ad182bf259857e3,road_end_02.arm,Tiny.V0.1,210594035,3752
175ad3a2d7978c3e,road_end_03.arm,Tiny.V2.1,212701371,3440
8abe239f7269f688,road_tri_01.arm,Content/data/balance/worldareas/maprustbowl.vworld,3534538,5440
a77f143dbe791cf0,road_tri_02.arm,Content/data/balance/worldareas/maprustbowl.vworld,3539978,4746
9b2ec65cb5ee6be5,road_tri_03.arm,Content/data/balance/worldareas/maprustbowl.vworld,3544724,5136
8b12c028d53eba42,road_cnr_01.arm,Content/data/balance/worldareas/maprustbowl.vworld,3452986,4828
dee4332af7f5fcce,road_cnr_02.arm,Content/data/balance/worldareas/maprustbowl.vworld,3457814,5328
7dc041d0b57d6e19,road_cnr_03.arm,Content/data/balance/worldareas/maprustbowl.vworld,3463142,5066
62e020f19bfa8372,road_cnr_04.arm,Content/data/balance/worldareas/maprustbowl.vworld,3468208,4414
129ac3e972a61665,road_cnr_05.arm,Content/data/balance/worldareas/maprustbowl.vworld,3472622,8142
b4936c141bccee07,road_st_river_01.arm,Content/data/balance/worldareas/maprustbowl.vworld,3525206,9332
664a336a93c93ef9,road_st_01.arm,Content/data/balance/worldareas/maprustbowl.vworld,3487434,5766
a94fa772cfa695ab,road_st_02.arm,Content/data/balance/worldareas/maprustbowl.vworld,3493200,9172
edc1c26b3f473e4e,road_st_03.arm,Content/data/balance/worldareas/maprustbowl.vworld,3502372,5408
5822d88e8cd70aeb,road_st_04.arm,Content/data/balance/worldareas/maprustbowl.vworld,3507780,6094
5255d6ffc53a1de3,road_st_05.arm,Content/data/balance/worldareas/maprustbowl.vworld,3513874,5046
81dd66726cee4cb9,road_st_06.arm,Content/data/balance/worldareas/maprustbowl.vworld,3518920,6286
