hash,file,bundle,offset,size
281a86feb88d698f,rhoahidecoatfemalec.mat,Tiny.V0,9355667,2074
2661645ae9966632,rhoahidecoatfemale_sss_dxt5.dds,Streaming/Content/metadata/items/armours/bodyarmours/DD3FA0B6015E1BC0.682E57F0A2E1EFA3.rhoahidecoatdexb.ao.2,0,5592580
50c76034488ee057,rhoahidecoatfemale_sss_dxt5.dds.header,Tiny.V9,9492337,1520
a8ca8ad580452444,rhoahidecoatfemale_normal_dxt5.dds,Streaming/Content/metadata/items/armours/bodyarmours/DD3FA0B6015E1BC0.682E57F0A2E1EFA3.rhoahidecoatdexb.ao.1,0,5592580
fd707422fdc0b686,rhoahidecoatfemale_normal_dxt5.dds.header,Tiny.VB,9188086,1520
ba5f4b733c5cf9f9,rhoahidecoatfemale_colour_dxt5.dds,Streaming/Content/metadata/items/armours/bodyarmours/DD3FA0B6015E1BC0.682E57F0A2E1EFA3.rhoahidecoatdexb.ao,358788,5592580
d78f8b8a3af8a80b,rhoahidecoatfemale_colour_dxt5.dds.header,Tiny.VB,9186566,1520
84c9106b6c937c2d,rhoahidecoatmalec.mat,Tiny.V1,9074706,2172
b8684c2defbd64cd,rhoahidecoatmale_sss_dxt5.dds,Streaming/Content/metadata/items/armours/bodyarmours/DD3FA0B6015E1BC0.682E57F0A2E1EFA3.rhoahidecoatstr.ao.2,0,5592580
99aaf5fe6707f2ec,rhoahidecoatmale_sss_dxt5.dds.header,Tiny.V2,9448301,1520
aa063e084f6bbae2,rhoahidecoatmale_normal_dxt5.dds,Streaming/Content/metadata/items/armours/bodyarmours/DD3FA0B6015E1BC0.682E57F0A2E1EFA3.rhoahidecoatstr.ao.1,0,5592580
957c995cc5d04854,rhoahidecoatmale_normal_dxt5.dds.header,Tiny.V7,9130831,1520
fa498f0dfa3d020e,rhoahidecoatmale_colour_dxt5.dds,Streaming/Content/metadata/items/armours/bodyarmours/DD3FA0B6015E1BC0.682E57F0A2E1EFA3.rhoahidecoatstr.ao,271076,5592580
95d4f670b394f697,rhoahidecoatmale_colour_dxt5.dds.header,Tiny.V9,9493857,1520
