hash,file,bundle,offset,size
5c68c8e2bb6d1a19,greatwhiteonec.mat,Tiny.V7,12434907,2266
728413fc56f01d17,greatwhiteoneupdatec.mat,Tiny.VE,12413146,1916
74c3926cb1762580,greatwhiteoneupdate_sss.dds,Streaming/Content/metadata/monsters/greatwhiteone/fintracker.ot.2,0,5592580
aad8aa355ad87321,greatwhiteoneupdate_sss.dds.header,Tiny.VE,12411626,1520
bc05443ef1b5274c,greatwhiteoneupdate_metal.dds,Streaming/Content/metadata/monsters/greatwhiteone/fintracker.ot.1,0,22369796
4c2ca3a7aed8cdb0,greatwhiteoneupdate_metal.dds.header,Tiny.V9,12740875,1520
b8f7e60138eec5a0,greatwhiteoneupdate_normal.dds,Streaming/Content/metadata/monsters/greatwhiteone/fintracker.ot.1,22369796,22369796
86b07456dcc07000,greatwhiteoneupdate_normal.dds.header,Tiny.VF,12430095,1520
958f4a54431e1060,greatwhiteoneupdate_colour.dds,Streaming/Content/metadata/monsters/greatwhiteone/fintracker.ot,1914721,11184972
6d00dbf7b268ed83,greatwhiteoneupdate_colour.dds.header,Tiny.VA,12437036,1520
dbf5bf933758fce3,greatwhiteoneupdatereducedc.mat,Tiny.V5,12200764,1972
c61c3e3c594ff9d5,greatwhiteoneupdatereduced_sss.dds,Streaming/Content/art/models/monsters/greatwhiteone/greatwhiteoneupdatereduced.fmt,874324,349700
c564fdbb0e2f071a,greatwhiteoneupdatereduced_sss.dds.header,Tiny.V6,12518999,1520
3cf2b51b57ab930e,greatwhiteoneupdatereduced_metal.dds,Streaming/Content/art/models/monsters/greatwhiteone/greatwhiteoneupdatereduced.fmt,174924,349700
a71d39bd7bb1dccf,greatwhiteoneupdatereduced_metal.dds.header,Tiny.V9,12742395,1520
c301edf436b99efa,greatwhiteoneupdatereduced_normal.dds,Streaming/Content/art/models/monsters/greatwhiteone/greatwhiteoneupdatereduced.fmt,524624,349700
85c56c095e0a39aa,greatwhiteoneupdatereduced_normal.dds.header,Tiny.VC,12255457,1520
149cc98ecd26c1f6,greatwhiteoneupdatereduced_colour.dds,Streaming/Content/art/models/monsters/greatwhiteone/greatwhiteoneupdatereduced.fmt,0,174924
725c2de7679aa561,greatwhiteoneupdatereduced_colour.dds.header,Tiny.V0,12589316,1520
1b32483eb8a6cada,greatwhiteone_normal_dxt5.dds,Streaming/Content/metadata/effects/microtransactions/bodyarmours/3A8DA355F5158AD9.19D9F978B6C4CF20.sharkfinheld.ao,699212,1398276
c1208aac4a8f9b70,greatwhiteone_normal_dxt5.dds.header,Tiny.V7,12433387,1520
e1ea4cf5ffb5896f,greatwhiteone_colour_dxt1.dds,Streaming/Content/metadata/effects/microtransactions/bodyarmours/3A8DA355F5158AD9.19D9F978B6C4CF20.sharkfinheld.ao,0,699212
d8b9b9b70c449da4,greatwhiteone_colour_dxt1.dds.header,Tiny.VF,12428575,1520
