hash,file,bundle,offset,size
8c856616f1b3ee08,steam_hydrantcns.mat,Tiny.V0,40213829,3036
1cc74233a4df43ae,steam_hydrantns.dds,Streaming/Content/metadata/projectiles/incursiongrenademortarsecondary.ot,429882,87556
0ef82eab7b2d8f94,steam_hydrantns.dds.header,Tiny.VD,40218272,1520
1b685d5df345b360,steam_hydrant_colour.dds,Streaming/Content/metadata/projectiles/incursiongrenademortarsecondary.ot,386030,43852
fe2a7e82f7f89220,steam_hydrant_colour.dds.header,Tiny.VC,40285981,1520
26d90823ef9f45e4,crystalcns.mat,Tiny.V5,39562010,4558
1b312d8c034a3ccb,crystalns.dds,Streaming/Content/metadata/projectiles/incursiongrenademortarsecondary.ot,364010,22020
2bfa6ff3529478bc,crystalns.dds.header,Tiny.VB,40291450,1520
bf1e09fdf2515647,crystal_colour.dds,Streaming/Content/metadata/projectiles/incursiongrenademortarsecondary.ot,341990,22020
eca1cbbea4b570d0,crystal_colour.dds.header,Tiny.V1,39968441,1520
947926f9ede597d3,crystal_centerc.mat,Tiny.V9,40546921,2442
4d40eb29c8bf294e,crystal_center.dds,Streaming/Content/metadata/projectiles/incursiongrenademortarsecondary.ot,319970,22020
4e997ec8e1e2c59b,crystal_center.dds.header,Tiny.V1,39968441,1520
f96c2cb3dbbd4715,crane_partscns.mat,Tiny.VD,40213744,3008
25eaaeb9e316ddf5,crane_partsns.dds,Streaming/Content/metadata/projectiles/incursiongrenademortarsecondary.ot,232414,87556
71fddbe85a7ed7ce,crane_partsns.dds.header,Tiny.VA,40208383,1520
611c76023f553f14,crane_parts_colour.dds,Streaming/Content/metadata/projectiles/incursiongrenademortarsecondary.ot,188562,43852
2a338e0872face5e,crane_parts_colour.dds.header,Tiny.VF,39898484,1520
3d0830f9e96b8cf6,clone_machine_podcns.mat,Tiny.V4,40159732,3092
81dd587b8263dab8,clone_machine_podns.dds,Streaming/Content/metadata/projectiles/incursiongrenademortarsecondary.ot,101006,87556
e079efc87ce701f8,clone_machine_podns.dds.header,Tiny.V1,39966921,1520
478f303283193c15,clone_machine_pod_colour.dds,Streaming/Content/metadata/projectiles/incursiongrenademortarsecondary.ot,57154,43852
76f3b3693d18a152,clone_machine_pod_colour.dds.header,Tiny.V1,39965401,1520
