hash,file,bundle,offset,size
5b2fd1f0ba540f8d,flametuft_01_r.mat,Tiny.VA.1,87336182,43218
f0b3cd6ca4019d90,grainsburst_01_r.mat,Tiny.V2.1,93532366,31226
a8e50d4d2868292c,physslam_grainsburst_01_u.mat,Tiny.VC.1,89053303,14210
6e902a7cf9820082,bodyslam_debris_01_u.mat,Tiny.V4.1,134174996,30530
4499efaadee7dddc,bodyslam_debrisbig_01_u.mat,Tiny.V4.1,134174996,30530
0b3f621bd8affb05,impact_debris_01_r.mat,Tiny.V4.1,134269948,35398
0714e8e0b8982119,impact_debrisbig_01_r.mat,Tiny.VA.1,134509270,35398
3fa1051d0e75cb18,windup_blast_u.mat,Tiny.VD.1,5313278,346
d7319e8aac65d1b3,windup_blast_r1.mat,Tiny.VC.1,89067513,48930
2f05f47aca103379,windup_blast_r2.mat,Tiny.V7.1,85986996,51606
0c1d61aac64c493b,clapaoe_embers_01_r.mat,Tiny.V0.1,134204640,30330
7191b38bd087dee5,clapaoe_smokering_01_r.mat,Tiny.VF.1,84802974,26590
6e7b6239f5df3b92,explode_embers_u.mat,Tiny.V3.1,134758883,19238
c5eaa342caea7a12,explode_afterglow_01_r.mat,Tiny.VE.1,88191260,37570
8f8192ced6a4be3c,explode_decal_01_u.mat,Tiny.V0.1,153326874,812
86ecea888c5fed32,explode_core_02_r1.mat,Tiny.V4.1,87609534,56940
9fb8703761c4d808,explode_core_02_u.mat,Tiny.VD.1,134052352,2148
90f265b4fb2d6694,explode_shimmer_02_r3.mat,Tiny.VE.1,88228830,39694
1f04819c682c2ee8,explode_stunoomph_01_r.mat,Tiny.VC.1,89017647,35656
715d7c6bcdb24675,explode_stunoomph_01_u.mat,Tiny.V3.1,25562285,2148
d54c0825087fa56d,explode_smokeshockwave_01_r.mat,Tiny.VB.1,87069277,34296
ac2ab0aeb6eca04a,explode_smokering_01_u.mat,Tiny.VA.1,87322102,14080
5d8ec2ea9fcc6b17,explode_flametuft_01_u.mat,Tiny.V9.1,91385088,16154
124751e3d098b2d9,explode_flash_r.mat,Tiny.V3.1,134778121,29250
ccf7be4b33745b13,explode_flash_u.mat,Tiny.VD.1,5313278,346
b320e6e44bb71c66,explode_blur_r.mat,Tiny.V4.1,134205526,10592
cc019dc9d5a96648,explode_blur_u.mat,Tiny.VD.1,5313278,346
