hash,file,bundle,offset,size
c2c4ba4701272013,licharmourglovesstr.sm,Tiny.V0,10198163,624
2376b2dadafabb78,licharmourglovesstr_d47db334.smd,Streaming/Folders/art/models/items/armours/33A2ECF62330AD08.0D8F7435691AA6C3.microtransactions,315697,46253
ff8bea57fcc5fe91,licharmourglovesstr_d47db334.smd.header,Tiny.V6,10041825,448
ae9acedc156150c7,licharmourglovesstrint.sm,Tiny.V9,10334816,628
4a3bcfb3363819d1,licharmourglovesstrint_714f4618.smd,Streaming/Folders/art/models/items/armours/BF8FCA5676B42DB4.0D8F7435691AA6C3.microtransactions,264272,46003
b6cb7e4e025eed8f,licharmourglovesstrint_714f4618.smd.header,Tiny.V4,10064899,448
b7806bd66c025ab3,licharmourglovesstrdex.sm,Tiny.VD,9939815,632
0a6c65f55d5290df,licharmourglovesstrdex_8eef5216.smd,Streaming/Folders/art/models/items/armours/A5D09EE3D5CF7278.0D8F7435691AA6C3.microtransactions,235691,46323
352967735ef5399f,licharmourglovesstrdex_8eef5216.smd.header,Tiny.V5,9751392,448
c5651bbe1bf10c4a,licharmourglovesint.sm,Tiny.V3,9985346,626
83cad91d74c4e6a6,licharmourglovesint_e848da80.smd,Streaming/Folders/art/models/items/armours/88BE122C177F3545.0D8F7435691AA6C3.microtransactions,354451,46221
fa307e70a73fbc53,licharmourglovesint_e848da80.smd.header,Tiny.V8,9807436,448
e3827ea93cd77004,licharmourglovesdex.sm,Tiny.VB,10094025,624
08614eba93dc40ae,licharmourglovesdex_d26fd833.smd,Streaming/Folders/art/models/items/armours/3F1784FCC28709EB.0D8F7435691AA6C3.microtransactions,217335,46189
30bed37614e9df21,licharmourglovesdex_d26fd833.smd.header,Tiny.VA,9996080,448
b22ccb191dccf371,licharmourglovesdexint.sm,Tiny.VE,10019090,630
1f22d25b67eef5c2,licharmourglovesdexint_3d8cea83.smd,Streaming/Folders/art/models/items/armours/0D8F7435691AA6C3.microtransactions,1188781,46067
42cef900c58409f1,licharmourglovesdexint_3d8cea83.smd.header,Tiny.V0,10197715,448
