hash,file,bundle,offset,size
63da52553ea4e0e7,tornado_outerc.mat,Tiny.V1,5838239,3802
dcf3d50193870727,tornado_outer.dds,Streaming/Content/metadata/effects/microtransactions/spells/C54C67CE466411D2.D1AC74E5AECBBE16.trl.trl,1116499,22052
53b934623b0856e1,tornado_outer.dds.header,Tiny.V9,37386953,504
bc9a53d703bc512e,fireball_flame3.mat,Tiny.V4,6024410,2866
3decec6f5d9d0d45,fireball_flame3.dds.header,Tiny.V7,5712141,1520
79d04e77ecf11848,sun_shockwavec.mat,Tiny.V0,6026521,2102
fd5b0b7853595b6a,sun_shockwave.dds,Streaming/Content/metadata/effects/microtransactions/spells/C54C67CE466411D2.D1AC74E5AECBBE16.trl.trl,1028943,87556
e2303803d87e7088,sun_shockwave.dds.header,Tiny.VF,36970212,1520
4bc17c4896d0e105,sun_sharp_shockwavec.mat,Tiny.VD,5753551,1796
35ffe9cbcbb261e6,sun_sharp_shockwave.dds,Streaming/Content/metadata/effects/microtransactions/spells/C54C67CE466411D2.D1AC74E5AECBBE16.trl.trl,1006923,22020
11df83ac06c4b694,sun_sharp_shockwave.dds.header,Tiny.VD,37134237,1520
e212f06e3b776ba4,sun_lightupc.mat,Tiny.V3,5758293,2496
a2dff8b04f197975,sun_lightup.dds,Streaming/Content/metadata/effects/microtransactions/spells/C54C67CE466411D2.D1AC74E5AECBBE16.trl.trl,963071,43852
91f6e0ba171e8d85,sun_lightup.dds.header,Tiny.V6,3994930,1520
ea6e0d248902228f,rune_adda_multic.mat,Tiny.V3,5756905,1388
c42505b4a5b167a7,rune_adda_multi.dds,Streaming/Content/metadata/effects/microtransactions/spells/207F1E913366095D.E13863F853E430EA.arcanecall_impact.ao,388839,87556
d0b119047d870226,rune_adda_multi.dds.header,Tiny.V8,5720652,1520
52bfea3c9100675e,rune_adda_addac.mat,Tiny.VA,5845629,2958
f890fa7981a21e69,rune_adda_adda.dds,Streaming/Content/metadata/effects/microtransactions/spells/207F1E913366095D.E13863F853E430EA.arcanecall_impact.ao,39139,349700
79cf89182aecb044,rune_adda_adda.dds.header,Tiny.V4,6027276,1520
6e7e3096a7d69496,explosion_spherec.mat,Tiny.V9,5956263,3878
dac24e45c6382cbe,explosion_sphere.dds,Streaming/Content/metadata/effects/microtransactions/spells/C54C67CE466411D2.D1AC74E5AECBBE16.trl.trl,678320,87556
37e30b4ee475bad5,explosion_sphere.dds.header,Tiny.V0,41075138,1520
3d9b123d1b3c8b21,base_addac.mat,Tiny.V4,6022216,2194
d8e5a4466e421c8c,base_adda.dds,Streaming/Content/metadata/effects/microtransactions/spells/C54C67CE466411D2.D1AC74E5AECBBE16.trl.trl,612432,22012
70633ba8aad73bf5,base_adda.dds.header,Tiny.VB,37216733,840
eb9283430e2d7619,base_testc.mat,Tiny.VA,5843295,2334
d6f70fb583ff63c7,base_test.dds,Streaming/Content/metadata/effects/microtransactions/spells/C54C67CE466411D2.D1AC74E5AECBBE16.trl.trl,634444,43876
f5d047a0c20ee505,base_test.dds.header,Tiny.V9,37381029,840
409e8af175f3f7f4,main_vaal_ee9da983.smd,Streaming/Content/metadata/effects/microtransactions/spells/C54C67CE466411D2.D1AC74E5AECBBE16.trl.trl,864876,98195
238f123a939eb73c,main_vaal_ee9da983.smd.header,Tiny.V2,6070722,584
be26ef55da676aec,main_5ec17fb0.smd,Streaming/Content/metadata/effects/microtransactions/spells/207F1E913366095D.E13863F853E430EA.arcanecall_impact.ao,0,39139
