hash,file,bundle,offset,size
d85d81be3789b430,impact.mat,Tiny.V8,5524577,3166
1a05e5b1868a22c5,impact.dds,Streaming/Content/metadata/particles/blight/channelling/loop_line.pet,401660,22020
0c9a8d48efff81e3,impact.dds.header,Tiny.V0,41895074,1520
43cf1f311e753b24,spiral_prtcls_at.mat,Tiny.VB,5628671,3062
472893043ebd366e,spiral_prtcls_at.dds,Streaming/Content/metadata/particles/storm_barrier/barrier_hit.pet,312188,22020
fff8eca9ddf5287a,spiral_prtcls_at.dds.header,Tiny.V7.1,1128350,1520
4a6433c37b879b95,dark_nucleus.mat,Tiny.VE,5637246,2304
fc8c8ecd064aceac,dark_nucleus.dds,Streaming/Content/metadata/particles/blight/channelling/loop_line.pet,346536,22020
5b94a221c56aeb49,dark_nucleus.dds.header,Tiny.V5,5619511,1520
04ea172a3226917e,cloud_mask.dds,Streaming/Content/metadata/particles/blight/channelling/loop_line.pet,368556,22020
e0ecbed7709d2575,cloud_mask.dds.header,Tiny.VB,6193483,1520
83253cf96908d12a,cyl_smoke2.mat,Tiny.V6,5555030,2584
655c958ea319b5fd,cyl_smoke2.dds,Streaming/Content/metadata/particles/storm_barrier/barrier_hit.pet,334208,5636
76ef3fc240f804b2,cyl_smoke2.dds.header,Tiny.VC,5540083,1520
22ace5c1a8019fc3,wavec.mat,Tiny.VA,5636845,3966
a13be5ac88779880,wave.dds,Streaming/Content/metadata/effects/microtransactions/spells/876C6E9A0AB3D91E.impact_aoe.ao,101864,87556
edd1895c298b18be,wave.dds.header,Tiny.V3,5545542,1520
72335bcfd366a7a1,alpha_basec.mat,Tiny.V0,5788220,2940
e1fd7a260d278192,alpha_base.dds,Streaming/Content/metadata/effects/microtransactions/spells/876C6E9A0AB3D91E.impact_aoe.ao,0,87556
c95db3d9edfe8b6b,alpha_base.dds.header,Tiny.V7,34512554,1520
d2a78fa52e57475e,tentacleaoe.sm,Tiny.VC,5541603,456
475fb4b1a2d7d9a1,tentacleaoe.amd,Tiny.V7,4107975,86
8f4edada65bec6a9,tentacleaoe.ast,Tiny.V2,5843305,3188
620bb5ff5cf67f7a,malachaiprojectilec.mat,Tiny.V4,5745746,2322
c33be8fab7431a9e,malachaiprojectile_colour.dds,Streaming/Content/metadata/effects/microtransactions/spells/0EB7D72D609B77CB.2EBB1422EABE5DAE.minion_proj_impact.pet,548540,87556
c33cb998fc886081,malachaiprojectile_colour.dds.header,Tiny.VF,5608400,1520
5144efd02c795f18,rig_64c2fb81.smd,Streaming/Content/metadata/effects/microtransactions/spells/876C6E9A0AB3D91E.rig.ao,0,27078
2dd83ba44ec4c50f,rig_64c2fb81.smd.header,Tiny.V8,5527743,368
cb3f967ea5a69c91,rig.amd,Tiny.V3,5545320,222
d229ceb027263dd7,rig.ast,Content/metadata/effects/spells/monsters_effects/BE7E11C4EFF90CA9.thorncascade_03.ao,766898,81286
e06b16207817c7eb,bits_subactual.mat,Tiny.V1,5635239,1416
b56c89d4db00ef01,bits_subactual.dds,Tiny.VA,5633243,516
1626c8ac529e33c4,bits_subactual.dds.header,Tiny.V9,5745186,1520
203d59e45bb53e2f,bits_sub_01.mat,Tiny.VA,5631845,1398
a51e43195060aead,bits_sub_01.dds,Tiny.VF,5607884,516
13c04561050c761f,bits_sub_01.dds.header,Tiny.VE,5635726,1520
d93f4f4fe3f144ae,poisen_cloud_sub.mat,Tiny.VF,5609920,2358
0e591181d8b7a0f5,poisen_cloud_sub.dds,Streaming/Content/metadata/particles/storm_barrier/barrier_hit.pet,339844,5636
18800f3303686e82,poisen_cloud_sub.dds.header,Tiny.V1,5636655,1520
d2f0718e3c816ed9,poisonarrowcloud.sm,Tiny.VA,5633759,344
59ba50c0f0107cb5,poison_lookup.dds,Tiny.VF,5612278,2212
4edb2a6575bcfc9a,poison_lookup.dds.header,Tiny.V2,5838903,280
65443ef1017de2b9,poison_add.mat,Tiny.V5,5621031,3008
351ccac44f489d51,poison_add.dds,Streaming/Content/metadata/particles/blight/channelling/loop_line.pet,390576,11084
21e83042acb75a51,poison_add.dds.header,Tiny.V1,5638175,1520
3cc0b2f061f35544,poison_aoe_4d322b0e.smd,Streaming/Content/metadata/effects/microtransactions/spells/876C6E9A0AB3D91E.impact_aoe.ao,87556,14308
bb8a90a2326057c8,poison_aoe_4d322b0e.smd.header,Tiny.V2,5838535,368
9c570bb1c799d572,poison_smokepurple.mat,Tiny.V0,5792772,2628
7df0f59070d77dba,poison_smokepurple.dds,Streaming/Content/metadata/particles/monster_effects/act7/04B51C13727EC365.diskexplode.pet,749076,87556
8a422d305c513613,poison_smokepurple.dds.header,Tiny.V2,5841785,1520
132eae7ac38a23d4,poison_purple.mat,Tiny.V2,5839183,2602
186bbba351bf95f5,poison_purple.dds,Streaming/Content/metadata/particles/monster_effects/act7/04B51C13727EC365.diskexplode.pet,727056,22020
6ff0ddcb450b75bf,poison_purple.dds.header,Tiny.VD,5601857,1520
