hash,file,bundle,offset,size
acc6f81484954365,ccm_cvm_01_c3r1.tgm,Streaming/Content/data/balance/worldareas/mapcreek.vworld,24593131,64373
197e38448ba1712f,ccm_cvm_01_c3r1.tgm.header,Tiny.V9,33655033,306
df92aa4c0a7841f7,ccm_cvm_01_c3r2.tgm,Streaming/Content/data/worldareas/6F/c_g1_5.vworld,607642,18281
667b78a1fb4bc211,ccm_cvm_01_c3r2.tgm.header,Tiny.VD,33373891,306
6186b6d8c84c1dc4,ccm_cvm_01_c3r3.tgm,Streaming/Content/data/worldareas/D4/c_g1_5.vworld,509539,5249
b0e328be7c7e005c,ccm_cvm_01_c3r3.tgm.header,Tiny.V2,33341342,264
efc75eaba918466a,ccm_cvm_01_c2r1.tgm,Streaming/Content/data/balance/worldareas/mapcreek.vworld,22111018,2482113
93170390b667d961,ccm_cvm_01_c2r1.tgm.header,Content/data/balance/worldareas/incursionhub.vworld,1166756,4178
7a3e63d207c04988,ccm_cvm_01_c2r2.tgm,Streaming/Content/data/worldareas/F3/c_g1_5.vworld,5946907,1270429
1a462f0f849729d6,ccm_cvm_01_c2r2.tgm.header,Tiny.V9,33652747,2286
aabfaa7db99c63dd,ccm_cvm_01_c2r3.tgm,Streaming/Content/data/worldareas/59/c_g1_5.vworld,1022728,10335
a403926e7399e820,ccm_cvm_01_c2r3.tgm.header,Tiny.VE,32884828,264
5c613e4adac33b47,ccm_cvm_01_c1r1.tgm,Tiny.VE,32882751,2077
a12787d306696cb0,ccm_cvm_01_c1r1.tgm.header,Tiny.V7,33275586,264
8ef8c914d37f1631,ccm_cvm_01_c1r2.tgm,Streaming/Content/data/worldareas/20/c_g1_5.vworld,111628,4895
cd49240ea6ff470c,ccm_cvm_01_c1r2.tgm.header,Tiny.V7,33275850,306
d6d0641e0ab43a07,ccm_cvm_01_c1r3.tgm,Streaming/Content/data/worldareas/FF/c_g1_5.vworld,9093439,191625
66155cccffe0a343,ccm_cvm_01_c1r3.tgm.header,Tiny.VD,33373233,658
a50e41ba83ceddbc,cvm_stm_01_c3r1.tgm,Streaming/Content/data/worldareas/7C/c_g1_5.vworld,2620883,70813
503e267626ebd2eb,cvm_stm_01_c3r1.tgm.header,Tiny.V6,33239401,570
