hash,file,bundle,offset,size
f7123dce00347c08,wisp_ribbons_u.mat,Tiny.V3.1,74190765,25330
6712ef765c96b6f1,wisp_ribbons_r.mat,Tiny.V7.1,71953362,52502
9dfde3b9f1f38b94,wisp_ribbons_r2.mat,Tiny.V5.1,74221002,25306
9a22ba2be2d81bd4,surge_flash_r.mat,Tiny.V1.1,73092348,56494
b6e55850775ac52e,surge_flash_u.mat,Tiny.VD.1,5313278,346
3d74a93c30a322a9,surge_ring_r.mat,Tiny.V8.1,76016818,46292
2f6780d7b903e575,surge_ring_u.mat,Tiny.VD.1,5313278,346
b03298f430a8e138,surge_bluroomph_r.mat,Tiny.V5.1,74209988,11014
cd338840a8457efd,surge_bluroomph_u.mat,Tiny.VD.1,5313278,346
8a3653d7a3f4f9e2,surge_spark_r.mat,Tiny.V3.1,74166109,24656
387362fa697cf5d5,surge_spark_u.mat,Tiny.VD.1,5313278,346
e928df00af369dbe,surge_smoke_r.mat,Tiny.VE.1,75608484,62282
09a28a600f4d0888,surge_smoke_u.mat,Tiny.VD.1,53642458,584
52d61d03d3ba2b1e,surge_snow_r.mat,Tiny.VA.1,73819730,23104
426424a500a87d24,surge_snow_u.mat,Tiny.V3.1,74145871,20238
c12ce2488a4a1889,buff_weapons_pass1.mat,Tiny.V7.1,71912000,41362
7da779b67b5ce1be,buff_pass0.mat,Tiny.VB.1,74520849,81628
8fb7f4b61c14e791,buff_pass1.mat,Tiny.V4.1,74091528,64942
