hash,file,bundle,offset,size
75ce78f7263fc044,gargoylearmourglovesint.sm,Tiny.V3,9976244,620
a2e48dbdb2670425,gargoylearmourglovesint_6ae6b674.smd,Streaming/Content/metadata/items/armours/gloves/DD3FA0B6015E1BC0.5DC6D0946C4ACC7F.burnishedgauntletsstr.ao,562705,86205
4afc1289472f7ee7,gargoylearmourglovesint_6ae6b674.smd.header,Tiny.V1,9933066,280
cbf1f544f2fff2ae,gargoylearmourglovesdex.sm,Tiny.V7,9937686,620
4eba7f242f26939f,gargoylearmourglovesdexint.sm,Tiny.V0,10184134,626
d88b67a0ebc31d68,gargoylearmourglovesdexint_bd1a0bf0.smd,Streaming/Content/metadata/items/armours/gloves/EF68568F2BD8D2FE.ultimatechaossetglovesint.ao,464174,86217
62f295358d70090d,gargoylearmourglovesdexint_bd1a0bf0.smd.header,Tiny.V5,9737126,280
95e0a5a227f82789,gargoylearmourglovesdex_5725e636.smd,Streaming/Content/metadata/items/armours/gloves/F4D897A1EF274522.archnemesishothtglovesdexint.ao,530712,86205
a415c6f7e5ff190b,gargoylearmourglovesdex_5725e636.smd.header,Tiny.V0,10183854,280
2c55775d0c7aacb3,gargoylearmourglovesstr.sm,Tiny.V9,10318527,620
d9269dd00b555feb,gargoylearmourglovesstr_4e7fd05a.smd,Streaming/Content/metadata/items/armours/gloves/8FB8C9095254112A.voodookingglovesstr.ao,485088,86205
6fae2e8db0400d82,gargoylearmourglovesstr_4e7fd05a.smd.header,Tiny.VC,9885676,280
48b24788a5c189f5,gargoylearmourglovesstrdex.sm,Tiny.VF,10031602,626
2f74041ebe2bae33,gargoylearmourglovesstrdex_e628033a.smd,Streaming/Content/metadata/items/armours/gloves/0284D5278F1FDFE0.gargoyleglovesstrdex.ao,0,86217
fe23e69cd15f74de,gargoylearmourglovesstrdex_e628033a.smd.header,Tiny.VB,10082031,280
5b6a6cec1715aa50,gargoylearmourglovesstrint.sm,Tiny.VD,9932179,626
3500209c42e956bc,gargoylearmourglovesstrint_6487fa3d.smd,Streaming/Content/metadata/items/armours/gloves/0284D5278F1FDFE0.gargoyleglovesstrint.ao,0,86217
2b3b40bf703a00c8,gargoylearmourglovesstrint_6487fa3d.smd.header,Tiny.VB,10082311,280
