hash,file,bundle,offset,size
c1fe94d36cee33c6,beam1b_dxt5.dds,Streaming/Content/metadata/effects/spells/shotgun_totem/cone.ao,275480,22020
e8a28e39a60c9ceb,beam1b_dxt5.dds.header,Tiny.V2,41043520,1520
74ef7db62692fef9,beamup_small_sparkysc.mat,Tiny.VD,41367399,2470
e03d4924ff3a9dd9,beamup_small_sparkys.dds,Streaming/Content/metadata/effects/spells/shotgun_totem/cone.ao,297500,5636
2fd4f17ff645b540,beamup_small_sparkys.dds.header,Tiny.V0,41238971,1520
907478844cc787ac,soul_upspiralc.mat,Tiny.V3,40496049,3238
bf6f19e4b9828aa6,soul_upspiral.dds,Streaming/Content/metadata/effects/spells/shotgun_totem/cone.ao,330792,22020
37239fc374335771,soul_upspiral.dds.header,Tiny.VB,41410054,1520
2b4752b68254c0a8,soul_purplec.mat,Tiny.V5,40781774,1964
d533b6c37cf81b56,soul_purple.dds,Streaming/Content/metadata/effects/spells/shotgun_totem/cone.ao,308772,22020
172efa6995624f49,soul_purple.dds.header,Tiny.VE,40770000,1520
e9298f847e9b48fd,space_bloodc.mat,Tiny.V2,41045040,11200
42b585e93bd58676,spiral_1c.mat,Tiny.VD,41371389,3214
468e55606ae384c8,spiral_1.dds,Streaming/Content/metadata/effects/spells/shotgun_totem/cone.ao,352812,22020
e2795964e26aecb8,spiral_1.dds.header,Tiny.VD,41369869,1520
32d450528e191f5f,light_gradientc.mat,Tiny.V0,41240491,1960
542f6780a8a58003,light_gradient.dds,Streaming/Content/metadata/effects/spells/shotgun_totem/cone.ao,303136,5636
013c7f2b8f6fd338,light_gradient.dds.header,Tiny.V4,41365589,1520
