hash,file,bundle,offset,size
fe53d0f10b893e50,atziri_p2_ultimatestormcall_01.ogg,Streaming/Folders/audio/dialogue/4.0/monsters.B8,1893532,243348
f8d916d1ed59d9a9,atziri_p2_ultimatestormcall_02.ogg,Streaming/Folders/audio/dialogue/4.0/monsters.B8,2136880,190835
eb3e35963bce5dc9,atziri_p2_ultimatestormcall_03.ogg,Streaming/Folders/audio/dialogue/4.0/monsters.4A,0,206177
cc9e2f571255d5cf,atziri_p2_ultimateflameblast_01.ogg,Streaming/Folders/audio/dialogue/4.0/monsters.B8,1173865,273707
f23799808a071c7e,atziri_p2_ultimateflameblast_02.ogg,Streaming/Folders/audio/dialogue/4.0/monsters.B8,1447572,259124
b804917360958654,atziri_p2_ultimateflameblast_03.ogg,Streaming/Folders/audio/dialogue/4.0/monsters.B8,1706696,186836
712d3f4f3a92add1,atziri_p2_fleshbubble_enda.ogg,Streaming/Folders/audio/dialogue/4.0/monsters.98,1661697,143655
3771b7971b74a355,atziri_p2_fleshbubble_endb.ogg,Streaming/Folders/audio/dialogue/4.0/monsters.98,1805352,161992
965d48c0e387defa,atziri_p2_fleshbubble_endc.ogg,Streaming/Folders/audio/dialogue/4.0/monsters.98,1967344,157138
ea82a0e45b826994,atziri_p2_fleshbubble_c1.ogg,Streaming/Folders/audio/dialogue/4.0/monsters.98,763572,134821
a9f4ecfdc2def12c,atziri_p2_fleshbubble_c2.ogg,Streaming/Folders/audio/dialogue/4.0/monsters.98,898393,593706
29f29d2b79560215,atziri_p2_fleshbubble_c3.ogg,Streaming/Folders/audio/dialogue/4.0/monsters.98,1492099,169598
46e8e0983cead1cf,atziri_p2_fleshbubble_b1.ogg,Streaming/Folders/audio/dialogue/4.0/monsters.88,2162329,141420
6e9051387f23a9b6,atziri_p2_fleshbubble_b2.ogg,Streaming/Folders/audio/dialogue/4.0/monsters.98,0,589200
e7165754c712b10c,atziri_p2_fleshbubble_b3.ogg,Streaming/Folders/audio/dialogue/4.0/monsters.98,589200,174372
898635d4dd341704,atziri_p2_fleshbubble_a1.ogg,Streaming/Folders/audio/dialogue/4.0/monsters.88,1281587,137245
3c0b06fbd511ece3,atziri_p2_fleshbubble_a2.ogg,Streaming/Folders/audio/dialogue/4.0/monsters.88,1418832,542993
b7647d4b1c6ae0ad,atziri_p2_fleshbubble_a3.ogg,Streaming/Folders/audio/dialogue/4.0/monsters.88,1961825,200504
