hash,file,bundle,offset,size
077e97c7f8f8a0e8,projectile_at.mat,Tiny.V7,3492883,3810
6e24b7458b9d5364,projectile_at.dds,Streaming/Content/metadata/effects/microtransactions/aura/8D3343213B50279F.classic_aura.epk,197092,87556
f3b865a9a846a289,projectile_at.dds.header,Tiny.V6,3438089,1520
4f835d85655dcc1d,grad.mat,Tiny.V2,3655866,1666
77e4c69a069fdec6,grad.dds,Streaming/Content/metadata/effects/microtransactions/aura/8D3343213B50279F.classic_aura.epk,0,11084
42a92a343f109fe5,grad.dds.header,Tiny.V8,4391955,1520
e37b9375774515ac,light_spine.mat,Tiny.VA,3549267,2632
009c79c7ccd2336e,light_spine.dds,Streaming/Content/metadata/effects/microtransactions/aura/8D3343213B50279F.classic_aura.epk,186008,11084
6e29c44a21dcc777,light_spine.dds.header,Tiny.VC,3429292,1520
8839368aae1b891d,light_rays_add.mat,Tiny.VE,3589845,1728
8ddb59393d3b64b1,light_rays_add.dds,Streaming/Content/metadata/effects/microtransactions/aura/8D3343213B50279F.classic_aura.epk,11084,174924
4cfcddee34ab1660,light_rays_add.dds.header,Tiny.VC,3427772,1520
27d3a769e2aab2ef,shockwkavey_at.mat,Tiny.VD,3494259,4046
cb268f06d3b0852e,shockwkavey_at.dds,Streaming/Content/metadata/effects/microtransactions/aura/8D3343213B50279F.classic_aura.epk,295732,87556
1907d2a0c3d57de6,shockwkavey_at.dds.header,Tiny.V0,36008876,1520
d7fae5f140084f8f,scrolling_cosmos.mat,Tiny.VA,3551899,1980
75fe975d1ecc3c08,scrolling_cosmos.dds,Streaming/Content/metadata/effects/microtransactions/aura/8D3343213B50279F.classic_aura.epk,284648,11084
0b49b41d49275d91,scrolling_cosmos.dds.header,Tiny.VD,3492739,1520
003fa01220657eb1,tile_01.dds,Streaming/Content/metadata/effects/microtransactions/head/F67A2535B25ADCB4.rig.ao,0,22020
d9d1b8f491abeb63,tile_01.dds.header,Tiny.V5,3615131,1520
