hash,file,bundle,offset,size
208a5fd57ece1925,cruciblearmourcoatdexint.sm,Tiny.V6,9449631,616
83a773ef25ad21a9,cruciblearmourcoatstrdex.sm,Tiny.V3,9322595,618
54bd5245f5f2a06b,cruciblearmourcoatstr.sm,Tiny.V1,9306795,618
ee0357f808e74a47,cruciblearmourcoatint.sm,Tiny.VA,9409178,668
a467752495ac7e3e,cruciblearmourcoatint_armour_66898cc5.smd,Streaming/Content/metadata/items/armours/bodyarmours/F06751C8767501B1.cruciblebodyint.ao,0,27449
af826ee6f1002e5b,cruciblearmourcoatint_armour_66898cc5.smd.header,Tiny.V3,9318598,3997
6328732e8061ee53,rig_0a7dfc62.smd,Streaming/Content/metadata/items/armours/bodyarmours/F06751C8767501B1.cruciblebodystr.ao,161245,27433
35514efdb08552b4,rig_0a7dfc62.smd.header,Tiny.V4,9487583,3989
ed036bb4bef1297e,rig_27896a66.smd,Streaming/Content/metadata/items/armours/bodyarmours/F06751C8767501B1.cruciblebodystrint.ao,161245,27433
5841ac0bf97befc5,rig_27896a66.smd.header,Tiny.V7,9312548,3989
cb67845490f6f40e,rig_777170c3.smd,Streaming/Content/metadata/items/armours/bodyarmours/F06751C8767501B1.cruciblebodystrint.ao,188678,27433
871b32aa890344db,rig_777170c3.smd.header,Tiny.V0,9571271,3989
4d360c694adf92b6,rig.amd,Tiny.V8,8451891,266
b45083fb6f238527,rig.ast,Content/metadata/items/armours/bodyarmours/winterviking/wintervikingbodystr.ao,1351800,5731
