hash,file,bundle,offset,size
078023bf32fd7d88,stitchedglovesdex.sm,Tiny.V3,9924085,606
1ab7a472765449ca,stitchedglovesdexint.sm,Tiny.V7,9903025,612
f8bcddd8bcc09c99,stitchedglovesdexint_f1da1b05.smd,Streaming/Content/metadata/items/armours/gloves/B6AD7A6F3B3C9D70.scalingheavyarmourglovesdex.ao,681906,56027
1459783915c6cf84,stitchedglovesdexint_f1da1b05.smd.header,Tiny.VD,9894647,280
3292fc32cc971b63,stitchedglovesdex_3d587849.smd,Streaming/Content/metadata/items/armours/gloves/DD3FA0B6015E1BC0.90230931EB6B58BC.gauzewrapsdexint.ao,506694,56027
db3637d2e51b63b8,stitchedglovesdex_3d587849.smd.header,Tiny.VD,9894647,280
661c29712968759a,stitchedglovesdrop_29e18e83.smd,Streaming/Content/metadata/items/armours/gloves/DD3FA0B6015E1BC0.295ED992D96A6430.stockymittsint.ao,551579,156023
855e46a8c3779ca9,stitchedglovesdrop_29e18e83.smd.header,Tiny.VF,9980253,448
730eac43fe65934d,stitchedglovesdrop.sm,Tiny.VA,9944956,592
4fcc8df9618c86ba,stitchedglovesdrop.amd,Tiny.VA,9158624,198
10f9259cb07feeb4,stitchedglovesdrop.ast,Content/metadata/items/armours/gloves/armoursfour/23A437C4CA241F70.sombreglovesdrop.ao,182818,25220
8c2148494f720805,stitchedglovesstr.sm,Tiny.V5,9710138,612
eb5b6814ffa1c87b,stitchedglovesstrint.sm,Tiny.V3,9925303,612
5cf63a3eaa8fe45b,stitchedglovesstrint_f1da1b05.smd,Streaming/Content/metadata/items/armours/gloves/DD3FA0B6015E1BC0.90230931EB6B58BC.gauzewrapsdexint.ao,562721,56027
6f6dbf4b80443a1a,stitchedglovesstrint_f1da1b05.smd.header,Tiny.VD,9894647,280
4f325291c09f8f0b,stitchedglovesstrdex.sm,Tiny.V3,9924691,612
1ec3e3644781ad49,stitchedglovesstrdex_f1da1b05.smd,Streaming/Content/metadata/items/armours/gloves/DD3FA0B6015E1BC0.90230931EB6B58BC.gauzewrapsdexint.ao,450667,56027
fa9b8e74f233c0b0,stitchedglovesstrdex_f1da1b05.smd.header,Tiny.VD,9894647,280
e1b33b2a2650173a,stitchedglovesstr_50fd5ef1.smd,Streaming/Content/metadata/items/armours/gloves/DD3FA0B6015E1BC0.0AD0AB147D160812.stitchedglovesstr.ao,0,56027
8668857f365b6fa5,stitchedglovesstr_50fd5ef1.smd.header,Tiny.V8,9758337,280
6e6d71fbc3e59a62,stitchedglovesint.sm,Tiny.V2,10211049,606
0280f88aac2780d1,stitchedglovesint_ce7d6db0.smd,Streaming/Content/metadata/items/armours/gloves/DD3FA0B6015E1BC0.0AD0AB147D160812.stitchedglovesint.ao,0,56103
f4cd89f5f4431f46,stitchedglovesint_ce7d6db0.smd.header,Tiny.V1,9900950,280
