hash,file,bundle,offset,size
9ae35771228ce5e4,kgb_rocktall01_oceanc.mat,Tiny.VF,21489303,2442
fda600817fe857b4,kgb_rocktall02_oceanc.mat,Tiny.V4,21726548,2442
6c91498b5fd8827f,kgb_rocksmall01_oceanc.mat,Tiny.V1,21257899,2446
0bcfdc5d9d66c531,kgb_rocksmall02_oceanc.mat,Tiny.VE,21155376,2446
0d51baf4e029985c,kgb_rocksmall03_oceanc.mat,Tiny.VE,21157822,2446
eee95c8a31bd484c,kgb_rocksmall04_oceanc.mat,Tiny.VC,21354155,2446
9470d2fd8185242e,kgb_rockpile01_oceanc.mat,Tiny.V9,21663768,2442
eeec3b198da35680,kgb_rockpile02_oceanc.mat,Tiny.V5,21009103,2442
85ad4b75512cee32,kgb_rockpile03_oceanc.mat,Tiny.VC,21351713,2442
0ecaf56683e8c7ed,kgb_rockoutcrop01_oceanc.mat,Tiny.V7,21245271,2454
fc97e2c72e9d06ce,kgb_rockoutcrop02_oceanc.mat,Tiny.V6,21379103,2454
26731efcf0568264,kgb_rockoutcrop03_oceanc.mat,Tiny.V8,21486615,2454
9b329a5ca73bd5ef,kgb_rockoutcrop04_oceanc.mat,Tiny.V5,21006649,2454
43da193e4c98e38e,kgb_rockmountain01_oceanc.mat,Tiny.V7,21242241,3030
e405b38e00fd5c43,kgb_rockmountain02_oceanc.mat,Tiny.VD,21089083,2458
8f50abefed2d64e6,kgb_rockmountain03_oceanc.mat,Tiny.V4,21724090,2458
358a5fb20811b2f0,kgb_rockmountain04_oceanc.mat,Tiny.V9,21661310,2458
218bc7cfadf7a4eb,kgb_rockmedium01_oceanc.mat,Tiny.VC,21349263,2450
a592da76f6ff7024,kgb_rockmedium02_oceanc.mat,Tiny.VA,21428803,2450
abfc86e5cd35a87a,kgb_rockmedium03_oceanc.mat,Tiny.VF,21484403,2450
a7478b933e6cd062,kgb_rockmedium04_oceanc.mat,Tiny.V9,21658860,2450
7bd79a187eed9aa0,kgb_rockmedium05_oceanc.mat,Tiny.VF,21486853,2450
498bea15cd1d4624,kgb_rockmedium06_oceanc.mat,Tiny.V7,21239791,2450
25752d0588fe4aa8,kgb_rockmedium07_oceanc.mat,Tiny.V2,21611923,2450
ff7f5e93aee97473,kgb_rocklarge01_oceanc.mat,Tiny.VD,21086637,2446
3698d2e650e71cf5,kgb_rocklarge02_oceanc.mat,Tiny.V8,21484169,2446
835b41157544f172,kgb_rockcliff01_oceanc.mat,Tiny.VD,21083793,2844
caed46c35516a846,kgb_rockcluster01_oceanc.mat,Tiny.VF,21481949,2454
