hash,file,bundle,offset,size
f0ac91faa8cd040f,brch_shelvesc.mat,Tiny.VC,26540805,812
28e9502479e0c475,brch_shelves_normal.dds,Streaming/Content/metadata/terrain/leagues/breach/CD07F2665713E7D4.wingchun_01.ao.1,0,5592580
a457e5b90aeccf6c,brch_shelves_normal.dds.header,Tiny.V2,23761425,1520
32983b4cdf7c6b57,brch_shelves_colour.dds,Streaming/Content/metadata/terrain/leagues/breach/CD07F2665713E7D4.wingchun_01.ao,0,2796364
d04f9ebc084a5855,brch_shelves_colour.dds.header,Tiny.V4,23905262,1520
dc00320a73d6b0fb,brch_woodpoles01c.mat,Tiny.VA,26605481,828
9340812d81241c06,brch_woodpoles01_normal.dds,Streaming/Content/metadata/terrain/leagues/breach/CD07F2665713E7D4.wingchun_01.ao.5,0,5592580
b2db286dce0bf519,brch_woodpoles01_normal.dds.header,Tiny.V0,17790136,1520
39840846e79cc4ce,brch_woodpoles01_colour.dds,Streaming/Content/metadata/terrain/leagues/breach/CD07F2665713E7D4.wingchun_01.ao.4,0,2796364
841495af8ad2b197,brch_woodpoles01_colour.dds.header,Tiny.VE,17430712,1520
50bdc6d3853486e7,brch_woodplanks01c.mat,Tiny.VA,26604645,836
4de6524c5031ef73,brch_woodplanks01_normal.dds,Streaming/Content/data/balance/worldareas/48/chayulaleague.vworld,0,5592580
c594125e837eff8b,brch_woodplanks01_normal.dds.header,Tiny.VD,26385039,1520
189c5d550f10d288,brch_woodplanks01_colour.dds,Streaming/Content/data/balance/worldareas/C9/chayulaleague.vworld,0,2796364
1e069fb2d993d2f1,brch_woodplanks01_colour.dds.header,Tiny.V9,26895566,1520
8922faade62fb00f,brch_woodbeams01c.mat,Tiny.V2,26543971,828
971d7d4362c26b59,brch_woodbeams01_normal.dds,Streaming/Content/metadata/terrain/leagues/breach/CD07F2665713E7D4.wingchun_01.ao.3,0,5592580
5c0cdcc168000b90,brch_woodbeams01_normal.dds.header,Tiny.V5,17258974,1520
f69f299c8818e9cf,brch_woodbeams01_colour.dds,Streaming/Content/metadata/terrain/leagues/breach/CD07F2665713E7D4.wingchun_01.ao.2,0,2796364
b8908b8fb31499b7,brch_woodbeams01_colour.dds.header,Tiny.V6,17649439,1520
0b53fbd66d23977d,brch_chayuladoor01c.mat,Tiny.VC,26535629,1060
dda3fa1df8054712,brch_chayuladoor01_normal.dds,Streaming/Content/data/balance/worldareas/31/chayulaleague.vworld,0,5592580
46975dcc36cf4738,brch_chayuladoor01_normal.dds.header,Tiny.VA,26580079,1520
