hash,file,bundle,offset,size
786499bfdb4ad4cd,fire_bits2_at.mat,Tiny.V9,36437130,2932
99997ebc660d3ff8,fire_bits2_at.dds,Streaming/Content/metadata/particles/monster_effects/act10/A850DF728DA22F91.C7EEEDED5741B9B1.grd_midline.pet,349700,11108
5c039245de833f33,fire_bits2_at.dds.header,Tiny.V4,36146796,840
ccafe0b5dcb3365f,red_light_ring_add.mat,Tiny.V3,35482242,1938
f2c64404ff47b597,red_light_ring_add.dds,Streaming/Content/metadata/particles/monster_effects/act10/A850DF728DA22F91.7F1F05CFF258ACBD.loop_trail.trl,941256,22020
fee96fae001797f4,red_light_ring_add.dds.header,Tiny.VE,35549266,1520
9d6d5db8a287e4f7,projectile_at.dds,Streaming/Content/metadata/particles/monster_effects/act10/C9D93E1BD3D84362.mortar_wisp.trl,940572,87556
9f8eb147d454a284,projectile_at.dds.header,Tiny.V5,35616585,1520
79ed9defc9756983,projectile_add.mat,Tiny.VB,36142617,4654
4f223b71d323b6ad,projectile_add.dds,Streaming/Content/metadata/particles/monster_effects/act10/C9D93E1BD3D84362.mortar_wisp.trl,853016,87556
9f010848c51fd490,projectile_add.dds.header,Tiny.V4,36152450,1520
ab39eeb6cc6d4a39,spark_bits.mat,Tiny.V9,36440566,2106
50e5b2edefa3903d,spark_bits.dds,Tiny.VC,36304305,1540
d22d48ad3cceb9d5,spark_bits.dds.header,Tiny.V9,36475168,1520
993664180ec19fc1,boom_at.mat,Tiny.V6,35909113,1154
e7e0fa07a1e800c0,boom_at.dds,Streaming/Content/metadata/particles/monster_effects/act10/A850DF728DA22F91.5F6DFA8AB4377985.bu_midline.pet,402963,22020
28a53247f1949161,boom_at.dds.header,Tiny.VB,36141097,1520
fa689875399c51ac,black_solidc.mat,Tiny.V5,35613057,2008
2fe2d73f8e4135cf,black_solid.dds.header,Tiny.V3,9862281,1520
d144421dd92cab0c,lensflare.mat,Tiny.V1,35961338,2024
7c688cd7f77ffd35,lensflare.dds,Streaming/Content/metadata/effects/microtransactions/spells/5C10CF61C5AF5FF7.once_fwdline.pet,974184,87556
6c300513552eb0d3,lensflare.dds.header,Tiny.V9,41456980,1520
6773e4b6e9e34626,lightning_bolts_vert.mat,Tiny.VE,35550786,2066
611aae9cb43f6540,lightning_bolts_vert.dds,Streaming/Content/metadata/particles/monster_effects/act10/A850DF728DA22F91.7F1F05CFF258ACBD.loop_trail.trl,591524,349732
867716af2bd8e5ce,lightning_bolts_vert.dds.header,Tiny.V9,36440062,504
9d957515a576219e,light_immortal_callc.mat,Tiny.V4,36150380,2070
15e25e03383abb30,light_immortal_call.dds,Streaming/Content/metadata/effects/spells/monsters_effects/BC25A78BC2C6B3F0.05DC884AC7AFDB24.beam_ball_beam2.ao,245710,87556
4e791342c30b80a4,light_immortal_call.dds.header,Tiny.VD,38906956,1520
fa3e65ca53c71574,ion_beamc.mat,Tiny.V7,35850439,2012
c59c040697731923,ion_beam.dds,Streaming/Content/metadata/effects/spells/monsters_effects/BC25A78BC2C6B3F0.05DC884AC7AFDB24.beam_ball_beam2.ao,70598,87556
e04b5ae6a215ad6a,ion_beam.dds.header,Tiny.V1,35959818,1520
d71edf700312b0c3,ion_beam_atc.mat,Tiny.V4,36147636,2744
368c0c4473aae475,ion_beam_at.dds,Streaming/Content/metadata/effects/spells/monsters_effects/BC25A78BC2C6B3F0.05DC884AC7AFDB24.beam_ball_beam2.ao,158154,87556
1d89cf8e90c2657e,ion_beam_at.dds.header,Tiny.V5,35615065,1520
