hash,file,bundle,offset,size
875f4e946268874b,spider_projectile.ao,Tiny.V8.1,37455662,3410
13933c70e424e029,spider_mortar_impact.ao,Tiny.V9.1,38281217,2728
babf6d6d7bd3ff98,spider_mortar.ao,Tiny.V6.1,36279081,3362
1862aee5d3e29d19,boom_ash.ao,Tiny.VC.1,37169351,2424
d09ba093674a0cfe,boom_ice.ao,Tiny.VD.1,36451724,2424
736f7a9b2c686388,boom_thunder.ao,Tiny.V7.1,34015966,3304
40704c2119194fa5,buff_ice.epk,Tiny.VC.1,37171775,898
416e6358b388c896,buff_ash.epk,Tiny.V6.1,36278191,890
104f8c05fc8f0427,buff_thunder_active.epk,Tiny.VE.1,35728966,954
a040bf7c70ef5930,buff_thunder.epk,Tiny.V8.1,37449540,930
17dcf34050fe401c,guard_spawn.ao,Tiny.V2.1,36706204,2530
a0557a060ab35386,guard_slam_big.ao,Tiny.VB.1,35025991,2734
57ede781e880c83f,guard_slam.ao,Tiny.V7.1,34019270,2628
