hash,file,bundle,offset,size
2b517500aebf82e7,smoke_blue.mat,Tiny.VC,37228125,1992
ba2046f90b073c79,smoke_blue.dds,Streaming/Content/metadata/particles/monster_effects/act4/7D6D6BD5CE242D9B.9725BE266D0A6DA7.trail_weapon.trl,306380,43876
1162dc724d34c517,smoke_blue.dds.header,Tiny.V1,36836980,840
7c3e0c4791fbdcb1,firstc.mat,Tiny.VE,36478268,2732
ced213413aa5626f,first.dds,Streaming/Content/metadata/effects/spells/monsters_effects/33F3D69C97E75412.DF6D6801EDE122AC.shavronnelevbeam.ao,21286,87548
c0466848b4ffb5dd,first.dds.header,Tiny.V0,37156780,840
68fce20e3424e063,lightning_groundimpact_glow.mat,Tiny.V5,36570166,1606
029ff1ea50f47848,lightning_groundimpact_glow.dds,Streaming/Content/metadata/particles/monster_effects/act4/7D6D6BD5CE242D9B.9725BE266D0A6DA7.trail_weapon.trl,218824,87556
b228cf889454412f,lightning_groundimpact_glow.dds.header,Tiny.V4,37092734,1520
121ec4c88453eed6,lightningstrikec.mat,Tiny.V1,36834282,2698
6f3167ee435643a5,lightningstrike.dds,Streaming/Content/metadata/effects/spells/monsters_effects/33F3D69C97E75412.DF6D6801EDE122AC.shavronnelevbeam.ao,108834,87580
2cd8258c00a425fc,lightningstrike.dds.header,Tiny.V1,38517366,344
