hash,file,bundle,offset,size
fd4dd09628a429c9,impact_sparks_01_r.mat,Tiny.V5.1,125406934,38986
58712e821faecbfd,impact_sparks_01_u.mat,Tiny.V4.1,124937562,23088
7b3c003d1b959a2a,impactaoeringshimmer_r.mat,Tiny.V3.1,39679001,21834
d1ef406e91e68825,impactaoering_r.mat,Tiny.V6.1,136321697,37266
a58952545964f984,impactaoering_u.mat,Tiny.V3.1,125458039,5522
80b2f0073a595e7d,portal_minibreach_r.mat,Tiny.VD.1,136526258,76504
2b8422b7cdb91449,portal_minibreach_u.mat,Tiny.V2.1,139300196,1938
fbbb493a9b284a38,bnpnt_emit_u.mat,Tiny.V8.1,126756546,1254
cdddbeb375a696a4,bluroomph_r.mat,Tiny.V3.1,137360579,10468
bb409defd6830069,bluroomph_u.mat,Tiny.VD.1,5322818,346
091401decf6d3a64,breachhole_r.mat,Tiny.VD.1,136487814,35788
1dbef09b1d06e016,breachflame_pillar_r.mat,Tiny.V7.1,134507934,97960
91e53415f163e59f,ground_base_r1.mat,Tiny.V6.1,136278219,43478
b5116d243245375f,ground_main_u.mat,Tiny.VD.1,136523602,2656
4b8bf3e3640e98be,ground_flamepillar_r.mat,Tiny.V5.1,136054696,93260
0454d2870557e410,ground_flamepillar_r2.mat,Tiny.V9.1,138223707,47006
